Port Flow Statistics,Port 2,Port 4,
link,link up,link up,
lineSpeed,800000,800000,
transmitDuration,00:00:30.452014666,00:00:30.460786265,
framesSent,20575685529,20581612285,
framesReceived,20575685529,20581612285,
fragments,0,0,
undersize,0,0,
oversizeAndCrcErrors,0,0,
vlanTaggedFramesRx,0,0,
flowControlFrames,0,0,
bitsSent,21069501981696,21075570979840,
bitsReceived,21075570979840,21069501981696,
pcsSyncErrorsReceived,0,0,
pcsRemoteFaultsReceived,0,0,
pcsLocalFaultsReceived,0,0,
fecTotalBitErrors,2822,93,
fecMaxSymbolErrors,1,1,
fecCorrectedCodewords,2822,93,
fecTotalCodewords,5221444584,5220716304,
fecFrameLossRatio,0.000000e+00,0.000000e+00,
preFecBer,9.934990e-11,3.274568e-12,
fecMaxSymbolErrorsBin0,5221441762,5220716211,
fecMaxSymbolErrorsBin1,2822,93,
fecMaxSymbolErrorsBin2,0,0,
fecMaxSymbolErrorsBin3,0,0,
fecMaxSymbolErrorsBin4,0,0,
fecMaxSymbolErrorsBin5,0,0,
fecMaxSymbolErrorsBin6,0,0,
fecMaxSymbolErrorsBin7,0,0,
fecMaxSymbolErrorsBin8,0,0,
fecMaxSymbolErrorsBin9,0,0,
fecMaxSymbolErrorsBin10,0,0,
fecMaxSymbolErrorsBin11,0,0,
fecMaxSymbolErrorsBin12,0,0,
fecMaxSymbolErrorsBin13,0,0,
fecMaxSymbolErrorsBin14,0,0,
fecMaxSymbolErrorsBin15,0,0,
fecUncorrectableCodewords,0,0,
fecTranscodingUncorrectableErrors,0,0,
l1BitsSent,24361611666336,24368628945440,
l1BitsReceived,24368628945440,24361611666336,
transceiverTemp,52,55,
encoding,PAM4 106G,PAM4 106G,
fecStatus,KP4-FEC,KP4-FEC,
transceiverVoltage,3.2265999999999999,3.2450000000000001,
minLatency,2254846,85897088201,
averageLatency,2254853,4289453,
maxLatency,2254858,85897088213,
Loss_Frames,0,0,
Loss%,0.0,0.0,
