Page 0x01 Registers Name,Port 3,
Inactive Module Firmware Major Revision,0x0000,
Inactive Module Firmware Minor Revision,0x0000,
Module Hardware Major Revision,0x0001,
Module Hardware Minor Revision,0x0000,
Link Length SMF,0x0005,
Link Length OM5,0x0000,
Link Length OM4,0x0000,
Link Length OM3,0x0000,
Link Length OM2,0x0000,
Reserved,0x0000,
Nominal Wavelength Hi Byte,0x0066,
Nominal Wavelength Lo Byte,0x006c,
Wavelength Tolerance Hi Byte,0x0005,
Wavelength Tolerance Lo Byte,0x0014,
Management Interface Ad: Banks/Diag,0x0024,
Management Interface Ad: ModSelL Wait,0x00df,
Management Interface Ad: DataPath Duration,0x0077,
Module Characteristics Ad: Aux Mon Type/Tx Clk Rec/Cooling,0x0060,
Module Characteristics Ad: Max Module Temp,0x0046,
Module Characteristics Ad: Min Module Temp,0x0000,
Module Characteristics Ad: Prop Delay MSB,0x0000,
Module Characteristics Ad: Prop Delay LSB,0x0000,
Module Characteristics Ad: Min Operation Volt,0x009d,
Module Characteristics Ad: Tx Dis/Rx LOS/OptPwr/Type,0x0018,
Module Characteristics Ad: CDR Pwr Saved,0x0000,
Module Characteristics Ad: Rx Output/Tx EQ,0x00f0,
Module Characteristics Ad: Rx EQ,0x0077,
Implemented Controls Ad: Tx,0x002f,
Implemented Controls Ad: Rx,0x0003,
Implemented Flags Ad: Tx,0x0007,
Implemented Flags Ad: Rx,0x0006,
Implemented Monitors Ad: Tx,0x0003,
Implemented Monitors Ad: Rx,0x0017,
Implemented Signal Integrity Ad: Tx,0x0009,
Implemented Signal Integrity Ad: Rx,0x001d,
CDB Ad: EPL/Auto/Implemented/Etc,0x0077,
CDB Ad: Max TWI Bytes Write,0x00ff,
CDB Ad: Command tNack Time/Process Option,0x0003,
CDB Ad: tNACK Time Max/Indicator,0x0000,
Addtional State Machine Durations Ad: Max PwrUp/PwrDn,0x0058,
Addtional State Machine Durations Ad Max Tx TurnOn/TurnOff,0x0055,
Reserved,0x0000,
Reserved,0x0000,
Reserved,0x0000,
Reserved,0x0000,
Reserved,0x0000,
Reserved,0x0000,
Reserved,0x0000,
Media Lane Assignment Options: ApSel 1,0x00ff,
Media Lane Assignment Options: ApSel 2,0x0000,
Media Lane Assignment Options: ApSel 3,0x0000,
Media Lane Assignment Options: ApSel 4,0x0000,
Media Lane Assignment Options: ApSel 5,0x0000,
Media Lane Assignment Options: ApSel 6,0x0000,
Media Lane Assignment Options: ApSel 7,0x0000,
Media Lane Assignment Options: ApSel 8,0x0000,
Media Lane Assignment Options: ApSel 9,0x0000,
Media Lane Assignment Options: ApSel 10,0x0000,
Media Lane Assignment Options: ApSel 11,0x0000,
Media Lane Assignment Options: ApSel 12,0x0000,
Media Lane Assignment Options: ApSel 13,0x0000,
Media Lane Assignment Options: ApSel 14,0x0000,
Media Lane Assignment Options: ApSel 15,0x0000,
Custom,0x0001,
Custom,0x0000,
Custom,0x0000,
Custom,0x00d0,
Custom,0x0007,
Custom,0x0000,
Custom,0x0000,
Custom,0x0000,
Custom,0x0008,
Custom,0x0000,
Custom,0x0000,
Custom,0x0003,
Custom,0x0000,
Custom,0x0000,
Custom,0x0000,
Custom,0x0000,
Custom,0x0000,
Custom,0x0000,
Custom,0x0000,
Custom,0x0000,
Custom,0x0000,
Custom,0x0000,
Custom,0x0000,
Custom,0x0000,
Custom,0x0000,
Custom,0x0000,
Custom,0x0000,
Custom,0x0000,
Custom,0x0000,
Custom,0x0000,
Custom,0x0000,
Custom,0x0000,
ApSel9 Host Electrical Interface ID,0x0000,
ApSel9 Module Media Interface ID,0x0000,
ApSel9 Host/Media Lane Count,0x0000,
ApSel9 Host Lane Assignment Options,0x0000,
ApSel10 Host Electrical Interface ID,0x0000,
ApSel10 Module Media Interface ID,0x0000,
ApSel10 Host/Media Lane Count,0x0000,
ApSel10 Host Lane Assignment Options,0x0000,
ApSel11 Host Electrical Interface ID,0x0000,
ApSel11 Module Media Interface ID,0x0000,
ApSel11 Host/Media Lane Count,0x0000,
ApSel11 Host Lane Assignment Options,0x0000,
ApSel12 Host Electrical Interface ID,0x0000,
ApSel12 Module Media Interface ID,0x0000,
ApSel12 Host/Media Lane Count,0x0000,
ApSel12 Host Lane Assignment Options,0x0000,
ApSel13 Host Electrical Interface ID,0x0000,
ApSel13 Module Media Interface ID,0x0000,
ApSel13 Host/Media Lane Count,0x0000,
ApSel13 Host Lane Assignment Options,0x0000,
ApSel14 Host Electrical Interface ID,0x0000,
ApSel14 Module Media Interface ID,0x0000,
ApSel14 Host/Media Lane Count,0x0000,
ApSel14 Host Lane Assignment Options,0x0000,
ApSel15 Host Electrical Interface ID,0x0000,
ApSel15 Module Media Interface ID,0x0000,
ApSel15 Host/Media Lane Count,0x0000,
ApSel15 Host Lane Assignment Options,0x0000,
Reserved,0x0000,
Reserved,0x0000,
Reserved,0x0000,
Reserved,0x0000,
Checksum,0x00b4,
