Page 0x11 Registers Name,Port 122,Port 124,
Data Path State Lane 1/Lane 2,0x0044,0x0044,
Data Path State Lane 3/Lane 4,0x0044,0x0044,
Data Path State Lane 5/Lane 6,0x0044,0x0044,
Data Path State Lane 7/Lane 8,0x0044,0x0044,
Rx Output Status Lane 1-8,0x00ff,0x00ff,
Tx Output Status Lane 1-8,0x00ff,0x00ff,
Data Path State Changed Flag,0x0000,0x0000,
Tx Fault Flag,0x0000,0x0000,
Tx LOS Flag,0x0000,0x0000,
Tx CDR LOL Flag,0x0000,0x0000,
Tx Adaptive Input Eq Fault Flag,0x0000,0x0000,
Tx Power High Alarm,0x0000,0x0000,
Tx Power Low Alarm,0x0000,0x0000,
Tx Power High Warning,0x0000,0x0000,
Tx Power Low Warning,0x0000,0x0000,
Tx Bias High Alarm,0x0000,0x0000,
Tx Bias Low Alarm,0x0000,0x0000,
Tx Bias High Warning,0x0000,0x0000,
Tx Bias Low Warning,0x0000,0x0000,
Rx LOS Flag,0x0000,0x0000,
Rx CDR LOL Flag,0x0000,0x0000,
Rx Power High Alarm,0x0000,0x0000,
Rx Power Low Alarm,0x0000,0x0000,
Rx Power High Warning,0x0000,0x0000,
Rx Power Low Warning,0x0000,0x0000,
Rx Output Status Changed Flag,0x0000,0x0000,
Tx1 Power MSB,0x004f,0x0044,
Tx1 Power LSB,0x00f9,0x007b,
Tx2 Power MSB,0x0048,0x0041,
Tx2 Power LSB,0x00bf,0x004e,
Tx3 Power MSB,0x0035,0x0042,
Tx3 Power LSB,0x0055,0x00da,
Tx4 Power MSB,0x0038,0x0042,
Tx4 Power LSB,0x009b,0x006f,
Tx5 Power MSB,0x004e,0x003f,
Tx5 Power LSB,0x006a,0x0046,
Tx6 Power MSB,0x0049,0x003d,
Tx6 Power LSB,0x002c,0x00f7,
Tx7 Power MSB,0x004d,0x0040,
Tx7 Power LSB,0x0034,0x001b,
Tx8 Power MSB,0x0047,0x003e,
Tx8 Power LSB,0x00d4,0x00a0,
Tx1 Bias MSB,0x006c,0x0071,
Tx1 Bias LSB,0x00ca,0x00be,
Tx2 Bias MSB,0x006c,0x0071,
Tx2 Bias LSB,0x00d9,0x00be,
Tx3 Bias MSB,0x0064,0x0065,
Tx3 Bias LSB,0x0042,0x007a,
Tx4 Bias MSB,0x0064,0x0065,
Tx4 Bias LSB,0x0042,0x00a7,
Tx5 Bias MSB,0x0063,0x0056,
Tx5 Bias LSB,0x0021,0x00a6,
Tx6 Bias MSB,0x0063,0x0056,
Tx6 Bias LSB,0x0021,0x00b5,
Tx7 Bias MSB,0x0063,0x0055,
Tx7 Bias LSB,0x00d7,0x0093,
Tx8 Bias MSB,0x0063,0x0055,
Tx8 Bias LSB,0x00e7,0x00b2,
Rx1 Power MSB,0x002e,0x0060,
Rx1 Power LSB,0x0045,0x00f1,
Rx2 Power MSB,0x0041,0x0050,
Rx2 Power LSB,0x00aa,0x00ba,
Rx3 Power MSB,0x0038,0x003e,
Rx3 Power LSB,0x0052,0x006c,
Rx4 Power MSB,0x0010,0x0042,
Rx4 Power LSB,0x0069,0x0026,
Rx5 Power MSB,0x0029,0x0055,
Rx5 Power LSB,0x002a,0x008b,
Rx6 Power MSB,0x0027,0x0053,
Rx6 Power LSB,0x0089,0x00c4,
Rx7 Power MSB,0x003f,0x0051,
Rx7 Power LSB,0x0009,0x0048,
Rx8 Power MSB,0x001f,0x003f,
Rx8 Power LSB,0x0000,0x00b9,
Config Command Status Lane 1/Lane 2,0x0000,0x0000,
Config Command Status Lane 3/Lane 4 ,0x0000,0x0000,
Config Command Status Lane 5/Lane 6 ,0x0000,0x0000,
Config Command Status Lane 7/Lane 8 ,0x0000,0x0000,
Active Control Set Lane 1,0x0010,0x0010,
Active Control Set Lane 2,0x0012,0x0012,
Active Control Set Lane 3,0x0014,0x0014,
Active Control Set Lane 4,0x0016,0x0016,
Active Control Set Lane 5,0x0018,0x0018,
Active Control Set Lane 6,0x001a,0x001a,
Active Control Set Lane 7,0x001c,0x001c,
Active Control Set Lane 8,0x001e,0x001e,
Active Set Tx Adaptive Input Eq Enable,0x00ff,0x00ff,
Active Set Tx Adaptive Input Eq Recall Tx1-Tx4,0x0000,0x0000,
Active Set Tx Adaptive Input Eq Recall Tx5-Tx8,0x0000,0x0000,
Manual Fixed Tx Input EQ Control Tx1/Tx2,0x0000,0x0000,
Manual Fixed Tx Input EQ Control Tx3/Tx4,0x0000,0x0000,
Manual Fixed Tx Input EQ Control Tx5/Tx6,0x0000,0x0000,
Manual Fixed Tx Input EQ Control Tx7/Tx8,0x0000,0x0000,
Active Set Tx CDR Control,0x00ff,0x00ff,
Active Set Rx CDR control,0x00ff,0x00ff,
Active Set Rx1/Rx2 Output Eq Control Pre-cursor,0x0033,0x0033,
Active Set Rx3/Rx4 Output Eq Control Pre-cursor,0x0033,0x0033,
Active Set Rx5/Rx6 Output Eq Control Pre-cursor,0x0033,0x0033,
Active Set Rx7/Rx8 Output Eq Control Pre-cursor,0x0033,0x0033,
