Port Flow Statistics,Port 3,Port 4,
link,link up,link up,
lineSpeed,800000,800000,
transmitDuration,00:01:00.338556114,00:01:00.341630836,
framesSent,3923183102,3923383019,
framesReceived,3923183102,3923383019,
bitsSent,47643135590688,47645563382736,
bitsReceived,47645563382736,47643135590688,
pcsSyncErrorsReceived,0,0,
pcsRemoteFaultsReceived,0,0,
pcsLocalFaultsReceived,0,0,
fecTotalBitErrors,6070,28617,
fecMaxSymbolErrors,2,2,
fecCorrectedCodewords,6060,28571,
fecTotalCodewords,9892781152,9892430320,
fecFrameLossRatio,0.000000e+00,0.000000e+00,
preFecBer,1.127902e-10,5.317680e-10,
fecMaxSymbolErrorsBin0,9892775092,9892401749,
fecMaxSymbolErrorsBin1,6050,28525,
fecMaxSymbolErrorsBin2,10,46,
fecMaxSymbolErrorsBin3,0,0,
fecMaxSymbolErrorsBin4,0,0,
fecMaxSymbolErrorsBin5,0,0,
fecMaxSymbolErrorsBin6,0,0,
fecMaxSymbolErrorsBin7,0,0,
fecMaxSymbolErrorsBin8,0,0,
fecMaxSymbolErrorsBin9,0,0,
fecMaxSymbolErrorsBin10,0,0,
fecMaxSymbolErrorsBin11,0,0,
fecMaxSymbolErrorsBin12,0,0,
fecMaxSymbolErrorsBin13,0,0,
fecMaxSymbolErrorsBin14,0,0,
fecMaxSymbolErrorsBin15,0,0,
fecUncorrectableCodewords,0,0,
fecTranscodingUncorrectableErrors,0,0,
l1BitsSent,48270844887008,48273304665776,
l1BitsReceived,48273304665776,48270844887008,
transceiverTemp,0,0,
encoding,PAM4 106G,PAM4 106G,
fecStatus,KP4-FEC,KP4-FEC,
transceiverVoltage,0,0,
minLatency,2220875,85897121934,
averageLatency,2220881,290227843,
maxLatency,2220886,85897121946,
Loss_Frames,0,0,
Loss%,0.0,0.0,
