Port Flow Statistics,Port 3,Port 4,
link,link up,link up,
lineSpeed,800000,800000,
transmitDuration,00:01:00.138464747,00:01:00.153425703,
framesSent,71593410408,71611221072,
framesReceived,71593410408,71611221072,
bitsSent,36655826128896,36664945188864,
bitsReceived,36664945188864,36655826128896,
pcsSyncErrorsReceived,0,0,
pcsRemoteFaultsReceived,0,0,
pcsLocalFaultsReceived,0,0,
fecTotalBitErrors,5977,30098,
fecMaxSymbolErrors,2,2,
fecCorrectedCodewords,5974,30035,
fecTotalCodewords,9848727376,9848428240,
fecFrameLossRatio,0.000000e+00,0.000000e+00,
preFecBer,1.115589e-10,5.617872e-10,
fecMaxSymbolErrorsBin0,9848721402,9848398205,
fecMaxSymbolErrorsBin1,5971,29972,
fecMaxSymbolErrorsBin2,3,63,
fecMaxSymbolErrorsBin3,0,0,
fecMaxSymbolErrorsBin4,0,0,
fecMaxSymbolErrorsBin5,0,0,
fecMaxSymbolErrorsBin6,0,0,
fecMaxSymbolErrorsBin7,0,0,
fecMaxSymbolErrorsBin8,0,0,
fecMaxSymbolErrorsBin9,0,0,
fecMaxSymbolErrorsBin10,0,0,
fecMaxSymbolErrorsBin11,0,0,
fecMaxSymbolErrorsBin12,0,0,
fecMaxSymbolErrorsBin13,0,0,
fecMaxSymbolErrorsBin14,0,0,
fecMaxSymbolErrorsBin15,0,0,
fecUncorrectableCodewords,0,0,
fecTranscodingUncorrectableErrors,0,0,
l1BitsSent,48110771794176,48122740560384,
l1BitsReceived,48122740560384,48110771794176,
transceiverTemp,0,0,
encoding,PAM4 106G,PAM4 106G,
fecStatus,KP4-FEC,KP4-FEC,
transceiverVoltage,0,0,
minLatency,2220875,85897121934,
averageLatency,2220881,25679021,
maxLatency,2220886,85897121946,
Loss_Frames,0,0,
Loss%,0.0,0.0,
