Port Flow Statistics,Port 3,Port 4,
link,link up,link up,
lineSpeed,800000,800000,
transmitDuration,00:01:00.344381947,00:01:00.347656748,
framesSent,4641875534,4642127442,
framesReceived,4641875534,4642127442,
bitsSent,47532805468160,47535385006080,
bitsReceived,47535385006080,47532805468160,
pcsSyncErrorsReceived,0,0,
pcsRemoteFaultsReceived,0,0,
pcsLocalFaultsReceived,0,0,
fecTotalBitErrors,5997,28624,
fecMaxSymbolErrors,2,2,
fecCorrectedCodewords,5993,28586,
fecTotalCodewords,9893591856,9893295632,
fecFrameLossRatio,0.000000e+00,0.000000e+00,
preFecBer,1.114246e-10,5.318516e-10,
fecMaxSymbolErrorsBin0,9893585863,9893267046,
fecMaxSymbolErrorsBin1,5989,28548,
fecMaxSymbolErrorsBin2,4,38,
fecMaxSymbolErrorsBin3,0,0,
fecMaxSymbolErrorsBin4,0,0,
fecMaxSymbolErrorsBin5,0,0,
fecMaxSymbolErrorsBin6,0,0,
fecMaxSymbolErrorsBin7,0,0,
fecMaxSymbolErrorsBin8,0,0,
fecMaxSymbolErrorsBin9,0,0,
fecMaxSymbolErrorsBin10,0,0,
fecMaxSymbolErrorsBin11,0,0,
fecMaxSymbolErrorsBin12,0,0,
fecMaxSymbolErrorsBin13,0,0,
fecMaxSymbolErrorsBin14,0,0,
fecMaxSymbolErrorsBin15,0,0,
fecUncorrectableCodewords,0,0,
fecTranscodingUncorrectableErrors,0,0,
l1BitsSent,48275505553600,48278125396800,
l1BitsReceived,48278125396800,48275505553600,
transceiverTemp,0,0,
encoding,PAM4 106G,PAM4 106G,
fecStatus,KP4-FEC,KP4-FEC,
transceiverVoltage,0,0,
minLatency,2220875,85897121934,
averageLatency,2220881,97063058,
maxLatency,2220886,85897121946,
Loss_Frames,0,0,
Loss%,0.0,0.0,
