Port Flow Statistics,Port 3,Port 4,
link,link up,link up,
lineSpeed,800000,800000,
transmitDuration,00:01:00.066769627,00:01:00.070059545,
framesSent,40585655098,40587878015,
framesReceived,40585655098,40587878015,
bitsSent,41559710820352,41561987087360,
bitsReceived,41561987087360,41559710820352,
pcsSyncErrorsReceived,0,0,
pcsRemoteFaultsReceived,0,0,
pcsLocalFaultsReceived,0,0,
fecTotalBitErrors,6400,28007,
fecMaxSymbolErrors,2,2,
fecCorrectedCodewords,6393,27967,
fecTotalCodewords,9848016576,9847699952,
fecFrameLossRatio,0.000000e+00,0.000000e+00,
preFecBer,1.194627e-10,5.227968e-10,
fecMaxSymbolErrorsBin0,9848010183,9847671985,
fecMaxSymbolErrorsBin1,6386,27927,
fecMaxSymbolErrorsBin2,7,40,
fecMaxSymbolErrorsBin3,0,0,
fecMaxSymbolErrorsBin4,0,0,
fecMaxSymbolErrorsBin5,0,0,
fecMaxSymbolErrorsBin6,0,0,
fecMaxSymbolErrorsBin7,0,0,
fecMaxSymbolErrorsBin8,0,0,
fecMaxSymbolErrorsBin9,0,0,
fecMaxSymbolErrorsBin10,0,0,
fecMaxSymbolErrorsBin11,0,0,
fecMaxSymbolErrorsBin12,0,0,
fecMaxSymbolErrorsBin13,0,0,
fecMaxSymbolErrorsBin14,0,0,
fecMaxSymbolErrorsBin15,0,0,
fecUncorrectableCodewords,0,0,
fecTranscodingUncorrectableErrors,0,0,
l1BitsSent,48053415636032,48056047569760,
l1BitsReceived,48056047569760,48053415636032,
transceiverTemp,0,0,
encoding,PAM4 106G,PAM4 106G,
fecStatus,KP4-FEC,KP4-FEC,
transceiverVoltage,0,0,
minLatency,2220875,85897121934,
averageLatency,2220881,38073742,
maxLatency,2220886,85897121946,
Loss_Frames,0,0,
Loss%,0.0,0.0,
