Port Flow Statistics,Port 3,Port 4,
link,link up,link up,
lineSpeed,800000,800000,
transmitDuration,00:01:00.282340668,00:01:00.285574428,
framesSent,11331267042,11331874892,
framesReceived,11331267042,11331874892,
bitsSent,46412869804032,46415359557632,
bitsReceived,46415359557632,46412869804032,
pcsSyncErrorsReceived,0,0,
pcsRemoteFaultsReceived,0,0,
pcsLocalFaultsReceived,0,0,
fecTotalBitErrors,5996,27889,
fecMaxSymbolErrors,2,2,
fecCorrectedCodewords,5992,27842,
fecTotalCodewords,9892435176,9892123888,
fecFrameLossRatio,0.000000e+00,0.000000e+00,
preFecBer,1.114191e-10,5.182562e-10,
fecMaxSymbolErrorsBin0,9892429184,9892096046,
fecMaxSymbolErrorsBin1,5988,27795,
fecMaxSymbolErrorsBin2,4,47,
fecMaxSymbolErrorsBin3,0,0,
fecMaxSymbolErrorsBin4,0,0,
fecMaxSymbolErrorsBin5,0,0,
fecMaxSymbolErrorsBin6,0,0,
fecMaxSymbolErrorsBin7,0,0,
fecMaxSymbolErrorsBin8,0,0,
fecMaxSymbolErrorsBin9,0,0,
fecMaxSymbolErrorsBin10,0,0,
fecMaxSymbolErrorsBin11,0,0,
fecMaxSymbolErrorsBin12,0,0,
fecMaxSymbolErrorsBin13,0,0,
fecMaxSymbolErrorsBin14,0,0,
fecMaxSymbolErrorsBin15,0,0,
fecUncorrectableCodewords,0,0,
fecTranscodingUncorrectableErrors,0,0,
l1BitsSent,48225872530752,48228459540352,
l1BitsReceived,48228459540352,48225872530752,
transceiverTemp,0,0,
encoding,PAM4 106G,PAM4 106G,
fecStatus,KP4-FEC,KP4-FEC,
transceiverVoltage,0,0,
minLatency,2220875,85897121934,
averageLatency,2220881,8028136,
maxLatency,2220886,85897121946,
Loss_Frames,0,0,
Loss%,0.0,0.0,
