Port Flow Statistics,Port 3,Port 4,
link,link up,link up,
lineSpeed,800000,800000,
transmitDuration,00:01:00.340030995,00:01:00.348760507,
framesSent,5779696455,5780532615,
framesReceived,5779696455,5780532615,
bitsSent,47347273359360,47354123182080,
bitsReceived,47354123182080,47347273359360,
pcsSyncErrorsReceived,0,0,
pcsRemoteFaultsReceived,0,0,
pcsLocalFaultsReceived,0,0,
fecTotalBitErrors,5932,27529,
fecMaxSymbolErrors,2,2,
fecCorrectedCodewords,5925,27478,
fecTotalCodewords,9885929424,9884946112,
fecFrameLossRatio,0.000000e+00,0.000000e+00,
preFecBer,1.103023e-10,5.119378e-10,
fecMaxSymbolErrorsBin0,9885923499,9884918634,
fecMaxSymbolErrorsBin1,5918,27427,
fecMaxSymbolErrorsBin2,7,51,
fecMaxSymbolErrorsBin3,0,0,
fecMaxSymbolErrorsBin4,0,0,
fecMaxSymbolErrorsBin5,0,0,
fecMaxSymbolErrorsBin6,0,0,
fecMaxSymbolErrorsBin7,0,0,
fecMaxSymbolErrorsBin8,0,0,
fecMaxSymbolErrorsBin9,0,0,
fecMaxSymbolErrorsBin10,0,0,
fecMaxSymbolErrorsBin11,0,0,
fecMaxSymbolErrorsBin12,0,0,
fecMaxSymbolErrorsBin13,0,0,
fecMaxSymbolErrorsBin14,0,0,
fecMaxSymbolErrorsBin15,0,0,
fecUncorrectableCodewords,0,0,
fecTranscodingUncorrectableErrors,0,0,
l1BitsSent,48272024792160,48279008400480,
l1BitsReceived,48279008400480,48272024792160,
transceiverTemp,0,0,
encoding,PAM4 106G,PAM4 106G,
fecStatus,KP4-FEC,KP4-FEC,
transceiverVoltage,0,0,
minLatency,2220875,85897121934,
averageLatency,2220881,182022783,
maxLatency,2220886,85897121946,
Loss_Frames,0,0,
Loss%,0.0,0.0,
