Port Flow Statistics,Port 3,Port 4,
link,link up,link up,
lineSpeed,800000,800000,
transmitDuration,00:01:00.112761463,00:01:00.115453950,
framesSent,21779986037,21780961574,
framesReceived,21779986037,21780961574,
bitsSent,44605411403776,44607409303552,
bitsReceived,44607409303552,44605411403776,
pcsSyncErrorsReceived,0,0,
pcsRemoteFaultsReceived,0,0,
pcsLocalFaultsReceived,0,0,
fecTotalBitErrors,6366,27585,
fecMaxSymbolErrors,2,2,
fecCorrectedCodewords,6356,27564,
fecTotalCodewords,9842758864,9842011248,
fecFrameLossRatio,0.000000e+00,0.000000e+00,
preFecBer,1.188915e-10,5.152171e-10,
fecMaxSymbolErrorsBin0,9842752508,9841983684,
fecMaxSymbolErrorsBin1,6346,27543,
fecMaxSymbolErrorsBin2,10,21,
fecMaxSymbolErrorsBin3,0,0,
fecMaxSymbolErrorsBin4,0,0,
fecMaxSymbolErrorsBin5,0,0,
fecMaxSymbolErrorsBin6,0,0,
fecMaxSymbolErrorsBin7,0,0,
fecMaxSymbolErrorsBin8,0,0,
fecMaxSymbolErrorsBin9,0,0,
fecMaxSymbolErrorsBin10,0,0,
fecMaxSymbolErrorsBin11,0,0,
fecMaxSymbolErrorsBin12,0,0,
fecMaxSymbolErrorsBin13,0,0,
fecMaxSymbolErrorsBin14,0,0,
fecMaxSymbolErrorsBin15,0,0,
fecUncorrectableCodewords,0,0,
fecTranscodingUncorrectableErrors,0,0,
l1BitsSent,48090209169696,48092363155392,
l1BitsReceived,48092363155392,48090209169696,
transceiverTemp,0,0,
encoding,PAM4 106G,PAM4 106G,
fecStatus,KP4-FEC,KP4-FEC,
transceiverVoltage,0,0,
minLatency,2220875,85897121934,
averageLatency,2220881,42225215,
maxLatency,2220886,85897121946,
Loss_Frames,0,0,
Loss%,0.0,0.0,
