Port Flow Statistics,Port 1,
link,link up,
lineSpeed,800000,
transmitDuration,00:00:30.182778505,
framesSent,20393769204,
framesReceived,20393769204,
fragments,0,
undersize,0,
oversizeAndCrcErrors,0,
vlanTaggedFramesRx,0,
flowControlFrames,0,
bitsSent,20883219664896,
bitsReceived,20883219664896,
pcsSyncErrorsReceived,0,
pcsRemoteFaultsReceived,0,
pcsLocalFaultsReceived,0,
fecTotalBitErrors,14,
fecMaxSymbolErrors,1,
fecCorrectedCodewords,14,
fecTotalCodewords,5167555792,
fecFrameLossRatio,0.000000e+00,
preFecBer,4.980168e-13,
fecMaxSymbolErrorsBin0,5167555778,
fecMaxSymbolErrorsBin1,14,
fecMaxSymbolErrorsBin2,0,
fecMaxSymbolErrorsBin3,0,
fecMaxSymbolErrorsBin4,0,
fecMaxSymbolErrorsBin5,0,
fecMaxSymbolErrorsBin6,0,
fecMaxSymbolErrorsBin7,0,
fecMaxSymbolErrorsBin8,0,
fecMaxSymbolErrorsBin9,0,
fecMaxSymbolErrorsBin10,0,
fecMaxSymbolErrorsBin11,0,
fecMaxSymbolErrorsBin12,0,
fecMaxSymbolErrorsBin13,0,
fecMaxSymbolErrorsBin14,0,
fecMaxSymbolErrorsBin15,0,
fecUncorrectableCodewords,0,
fecTranscodingUncorrectableErrors,0,
l1BitsSent,24146222737536,
l1BitsReceived,24146222737536,
transceiverTemp,51,
encoding,PAM4 106G,
fecStatus,KP4-FEC,
transceiverVoltage,3.2231000000000001,
minLatency,1500000000001,
averageLatency,0,
maxLatency,0,
Loss_Frames,0,
Loss%,0.0,
