Port Flow Statistics,Port 3,
link,link up,
lineSpeed,800000,
transmitDuration,00:01:00.473910105,
framesSent,40860750015,
framesReceived,40860750015,
fragments,0,
undersize,0,
oversizeAndCrcErrors,0,
vlanTaggedFramesRx,0,
flowControlFrames,0,
bitsSent,41841408015360,
bitsReceived,41841408015360,
pcsSyncErrorsReceived,0,
pcsRemoteFaultsReceived,0,
pcsLocalFaultsReceived,0,
fecTotalBitErrors,28,
fecMaxSymbolErrors,1,
fecCorrectedCodewords,28,
fecTotalCodewords,9890514512,
fecFrameLossRatio,0.000000e+00,
preFecBer,5.204035e-13,
fecMaxSymbolErrorsBin0,9890514484,
fecMaxSymbolErrorsBin1,28,
fecMaxSymbolErrorsBin2,0,
fecMaxSymbolErrorsBin3,0,
fecMaxSymbolErrorsBin4,0,
fecMaxSymbolErrorsBin5,0,
fecMaxSymbolErrorsBin6,0,
fecMaxSymbolErrorsBin7,0,
fecMaxSymbolErrorsBin8,0,
fecMaxSymbolErrorsBin9,0,
fecMaxSymbolErrorsBin10,0,
fecMaxSymbolErrorsBin11,0,
fecMaxSymbolErrorsBin12,0,
fecMaxSymbolErrorsBin13,0,
fecMaxSymbolErrorsBin14,0,
fecMaxSymbolErrorsBin15,0,
fecUncorrectableCodewords,0,
fecTranscodingUncorrectableErrors,0,
l1BitsSent,48379128017760,
l1BitsReceived,48379128017760,
transceiverTemp,55,
encoding,PAM4 106G,
fecStatus,KP4-FEC,
transceiverVoltage,3.2241,
minLatency,0,
averageLatency,0,
maxLatency,0,
