Port Flow Statistics,Port 3,Port 4,
link,link up,link up,
lineSpeed,800000,800000,
transmitDuration,00:01:00.191059704,00:01:00.194860190,
framesSent,71656023454,71660547836,
framesReceived,71656023454,71660547836,
bitsSent,36687884008448,36690200492032,
bitsReceived,36690200492032,36687884008448,
pcsSyncErrorsReceived,0,0,
pcsRemoteFaultsReceived,0,0,
pcsLocalFaultsReceived,0,0,
fecTotalBitErrors,3501,121737,
fecMaxSymbolErrors,1,2,
fecCorrectedCodewords,3501,121117,
fecTotalCodewords,9951722736,9951276240,
fecFrameLossRatio,0.000000e+00,0.000000e+00,
preFecBer,6.466882e-11,2.248769e-09,
fecMaxSymbolErrorsBin0,9951719235,9951155123,
fecMaxSymbolErrorsBin1,3501,120497,
fecMaxSymbolErrorsBin2,0,620,
fecMaxSymbolErrorsBin3,0,0,
fecMaxSymbolErrorsBin4,0,0,
fecMaxSymbolErrorsBin5,0,0,
fecMaxSymbolErrorsBin6,0,0,
fecMaxSymbolErrorsBin7,0,0,
fecMaxSymbolErrorsBin8,0,0,
fecMaxSymbolErrorsBin9,0,0,
fecMaxSymbolErrorsBin10,0,0,
fecMaxSymbolErrorsBin11,0,0,
fecMaxSymbolErrorsBin12,0,0,
fecMaxSymbolErrorsBin13,0,0,
fecMaxSymbolErrorsBin14,0,0,
fecMaxSymbolErrorsBin15,0,0,
fecUncorrectableCodewords,0,0,
fecTranscodingUncorrectableErrors,0,0,
l1BitsSent,48152847761088,48155888145792,
l1BitsReceived,48155888145792,48152847761088,
transceiverTemp,0,0,
encoding,PAM4 106G,PAM4 106G,
fecStatus,KP4-FEC,KP4-FEC,
transceiverVoltage,0,0,
minLatency,2224364,85897118441,
averageLatency,2224370,26852738,
maxLatency,2224376,85897118453,
Loss_Frames,0,0,
Loss%,0.0,0.0,
