Port Flow Statistics,Port 3,Port 4,
link,link up,link up,
lineSpeed,800000,800000,
transmitDuration,00:01:00.005980023,00:01:00.008527067,
framesSent,40544581041,40546302015,
framesReceived,40544581041,40546302015,
bitsSent,41517650985984,41519413263360,
bitsReceived,41519413263360,41517650985984,
pcsSyncErrorsReceived,0,0,
pcsRemoteFaultsReceived,0,0,
pcsLocalFaultsReceived,0,0,
fecTotalBitErrors,1265,195,
fecMaxSymbolErrors,1,1,
fecCorrectedCodewords,1265,195,
fecTotalCodewords,9839040848,9838360928,
fecFrameLossRatio,0.000000e+00,0.000000e+00,
preFecBer,2.363409e-11,3.643451e-12,
fecMaxSymbolErrorsBin0,9839039583,9838360733,
fecMaxSymbolErrorsBin1,1265,195,
fecMaxSymbolErrorsBin2,0,0,
fecMaxSymbolErrorsBin3,0,0,
fecMaxSymbolErrorsBin4,0,0,
fecMaxSymbolErrorsBin5,0,0,
fecMaxSymbolErrorsBin6,0,0,
fecMaxSymbolErrorsBin7,0,0,
fecMaxSymbolErrorsBin8,0,0,
fecMaxSymbolErrorsBin9,0,0,
fecMaxSymbolErrorsBin10,0,0,
fecMaxSymbolErrorsBin11,0,0,
fecMaxSymbolErrorsBin12,0,0,
fecMaxSymbolErrorsBin13,0,0,
fecMaxSymbolErrorsBin14,0,0,
fecMaxSymbolErrorsBin15,0,0,
fecUncorrectableCodewords,0,0,
fecTranscodingUncorrectableErrors,0,0,
l1BitsSent,48004783952544,48006821585760,
l1BitsReceived,48006821585760,48004783952544,
transceiverTemp,0,0,
encoding,PAM4 106G,PAM4 106G,
fecStatus,KP4-FEC,KP4-FEC,
transceiverVoltage,0,0,
minLatency,2325843,85897016968,
averageLatency,2325850,57051782,
maxLatency,2325855,85897016980,
Loss_Frames,0,0,
Loss%,0.0,0.0,
