Port Flow Statistics,Port 123,
link,link up,
lineSpeed,400000,
transmitDuration,00:00:30.417871270,
framesSent,10276307860,
framesReceived,10276307860,
fragments,0,
undersize,0,
oversizeAndCrcErrors,0,
vlanTaggedFramesRx,0,
flowControlFrames,0,
bitsSent,10522939248640,
bitsReceived,10522939248640,
pcsSyncErrorsReceived,0,
pcsRemoteFaultsReceived,0,
pcsLocalFaultsReceived,0,
fecTotalBitErrors,337,
fecMaxSymbolErrors,1,
fecCorrectedCodewords,337,
fecTotalCodewords,2602396784,
fecFrameLossRatio,0.000000e+00,
preFecBer,2.380441e-11,
fecMaxSymbolErrorsBin0,2602396447,
fecMaxSymbolErrorsBin1,337,
fecMaxSymbolErrorsBin2,0,
fecMaxSymbolErrorsBin3,0,
fecMaxSymbolErrorsBin4,0,
fecMaxSymbolErrorsBin5,0,
fecMaxSymbolErrorsBin6,0,
fecMaxSymbolErrorsBin7,0,
fecMaxSymbolErrorsBin8,0,
fecMaxSymbolErrorsBin9,0,
fecMaxSymbolErrorsBin10,0,
fecMaxSymbolErrorsBin11,0,
fecMaxSymbolErrorsBin12,0,
fecMaxSymbolErrorsBin13,0,
fecMaxSymbolErrorsBin14,0,
fecMaxSymbolErrorsBin15,0,
fecUncorrectableCodewords,0,
fecTranscodingUncorrectableErrors,0,
l1BitsSent,12167148506240,
l1BitsReceived,12167148506240,
transceiverTemp,52,
encoding,Unknown,
fecStatus,KP4-FEC,
transceiverVoltage,3.2277,
minLatency,111,
averageLatency,112,
maxLatency,125,
