Port Flow Statistics,Port 1,Port 2,
link,link up,link up,
lineSpeed,800000,800000,
transmitDuration,00:01:00.494900748,00:01:00.497924982,
framesSent,40874932880,40876976284,
framesReceived,40874932880,40876976284,
bitsSent,41855931269120,41858023714816,
bitsReceived,41858023714816,41855931269120,
pcsSyncErrorsReceived,0,0,
pcsRemoteFaultsReceived,0,0,
pcsLocalFaultsReceived,0,0,
fecTotalBitErrors,432,501,
fecMaxSymbolErrors,1,1,
fecCorrectedCodewords,432,501,
fecTotalCodewords,9927587776,9925066688,
fecFrameLossRatio,0.000000e+00,0.000000e+00,
preFecBer,7.999100e-12,9.279090e-12,
fecMaxSymbolErrorsBin0,9927587344,9925066187,
fecMaxSymbolErrorsBin1,432,501,
fecMaxSymbolErrorsBin2,0,0,
fecMaxSymbolErrorsBin3,0,0,
fecMaxSymbolErrorsBin4,0,0,
fecMaxSymbolErrorsBin5,0,0,
fecMaxSymbolErrorsBin6,0,0,
fecMaxSymbolErrorsBin7,0,0,
fecMaxSymbolErrorsBin8,0,0,
fecMaxSymbolErrorsBin9,0,0,
fecMaxSymbolErrorsBin10,0,0,
fecMaxSymbolErrorsBin11,0,0,
fecMaxSymbolErrorsBin12,0,0,
fecMaxSymbolErrorsBin13,0,0,
fecMaxSymbolErrorsBin14,0,0,
fecMaxSymbolErrorsBin15,0,0,
fecUncorrectableCodewords,0,0,
fecTranscodingUncorrectableErrors,0,0,
l1BitsSent,48395920529920,48398339920256,
l1BitsReceived,48398339920256,48395920529920,
transceiverTemp,54,55,
encoding,PAM4 106G,PAM4 106G,
fecStatus,KP4-FEC,KP4-FEC,
transceiverVoltage,3.2536999999999998,3.2416,
minLatency,2232563,85897110480,
averageLatency,2232570,56590612,
maxLatency,2232575,85897110491,
Loss_Frames,0,0,
Loss%,0.0,0.0,
