Port Flow Statistics,Port 1,Port 2,
link,link up,link up,
lineSpeed,800000,800000,
transmitDuration,00:01:00.395153310,00:01:00.405300104,
framesSent,71898992027,71911071548,
framesReceived,71898992027,71911071548,
bitsSent,36812283917824,36818468632576,
bitsReceived,36818468632576,36812283917824,
pcsSyncErrorsReceived,0,0,
pcsRemoteFaultsReceived,0,0,
pcsLocalFaultsReceived,0,0,
fecTotalBitErrors,458,445,
fecMaxSymbolErrors,1,1,
fecCorrectedCodewords,458,445,
fecTotalCodewords,9888647216,9888321104,
fecFrameLossRatio,0.000000e+00,0.000000e+00,
preFecBer,8.513923e-12,8.272534e-12,
fecMaxSymbolErrorsBin0,9888646758,9888320659,
fecMaxSymbolErrorsBin1,458,445,
fecMaxSymbolErrorsBin2,0,0,
fecMaxSymbolErrorsBin3,0,0,
fecMaxSymbolErrorsBin4,0,0,
fecMaxSymbolErrorsBin5,0,0,
fecMaxSymbolErrorsBin6,0,0,
fecMaxSymbolErrorsBin7,0,0,
fecMaxSymbolErrorsBin8,0,0,
fecMaxSymbolErrorsBin9,0,0,
fecMaxSymbolErrorsBin10,0,0,
fecMaxSymbolErrorsBin11,0,0,
fecMaxSymbolErrorsBin12,0,0,
fecMaxSymbolErrorsBin13,0,0,
fecMaxSymbolErrorsBin14,0,0,
fecMaxSymbolErrorsBin15,0,0,
fecUncorrectableCodewords,0,0,
fecTranscodingUncorrectableErrors,0,0,
l1BitsSent,48316122642144,48324240080256,
l1BitsReceived,48324240080256,48316122642144,
transceiverTemp,55,55,
encoding,PAM4 106G,PAM4 106G,
fecStatus,KP4-FEC,KP4-FEC,
transceiverVoltage,3.2488999999999999,3.2462,
minLatency,2232563,85897110480,
averageLatency,2232570,8860995,
maxLatency,2232575,85897110491,
Loss_Frames,0,0,
Loss%,0.0,0.0,
