Page 0x11 Registers Name,Port 1,Port 2,
Data Path State Lane 1/Lane 2,0x0044,0x0044,
Data Path State Lane 3/Lane 4,0x0044,0x0044,
Data Path State Lane 5/Lane 6,0x0044,0x0044,
Data Path State Lane 7/Lane 8,0x0044,0x0044,
Rx Output Status Lane 1-8,0x00ff,0x00ff,
Tx Output Status Lane 1-8,0x00ff,0x00ff,
Data Path State Changed Flag,0x0000,0x0000,
Tx Fault Flag,0x0000,0x0000,
Tx LOS Flag,0x0000,0x0000,
Tx CDR LOL Flag,0x0000,0x0000,
Tx Adaptive Input Eq Fault Flag,0x0000,0x0000,
Tx Power High Alarm,0x0000,0x0000,
Tx Power Low Alarm,0x0000,0x0000,
Tx Power High Warning,0x0000,0x0000,
Tx Power Low Warning,0x0000,0x0000,
Tx Bias High Alarm,0x0000,0x0000,
Tx Bias Low Alarm,0x0000,0x0000,
Tx Bias High Warning,0x0000,0x0000,
Tx Bias Low Warning,0x0000,0x0000,
Rx LOS Flag,0x0000,0x0000,
Rx CDR LOL Flag,0x0000,0x0000,
Rx Power High Alarm,0x0000,0x0000,
Rx Power Low Alarm,0x0000,0x0000,
Rx Power High Warning,0x0000,0x0000,
Rx Power Low Warning,0x0000,0x0000,
Rx Output Status Changed Flag,0x0000,0x0000,
Tx1 Power MSB,0x002c,0x0032,
Tx1 Power LSB,0x0035,0x0091,
Tx2 Power MSB,0x0030,0x0038,
Tx2 Power LSB,0x0090,0x00b5,
Tx3 Power MSB,0x002f,0x0036,
Tx3 Power LSB,0x0034,0x0083,
Tx4 Power MSB,0x0033,0x0045,
Tx4 Power LSB,0x00de,0x0053,
Tx5 Power MSB,0x002f,0x0025,
Tx5 Power LSB,0x0088,0x000b,
Tx6 Power MSB,0x0035,0x0020,
Tx6 Power LSB,0x0061,0x004d,
Tx7 Power MSB,0x0037,0x0039,
Tx7 Power LSB,0x002f,0x00fc,
Tx8 Power MSB,0x002f,0x003b,
Tx8 Power LSB,0x004d,0x003d,
Tx1 Bias MSB,0x0051,0x0062,
Tx1 Bias LSB,0x0085,0x001c,
Tx2 Bias MSB,0x0052,0x0062,
Tx2 Bias LSB,0x0099,0x000d,
Tx3 Bias MSB,0x0051,0x0062,
Tx3 Bias LSB,0x00d1,0x0096,
Tx4 Bias MSB,0x0051,0x0062,
Tx4 Bias LSB,0x00f0,0x00d3,
Tx5 Bias MSB,0x0056,0x0044,
Tx5 Bias LSB,0x00e8,0x003b,
Tx6 Bias MSB,0x0056,0x0044,
Tx6 Bias LSB,0x00d8,0x0068,
Tx7 Bias MSB,0x004e,0x005c,
Tx7 Bias LSB,0x00f2,0x00cd,
Tx8 Bias MSB,0x004f,0x005c,
Tx8 Bias LSB,0x0020,0x00be,
Rx1 Power MSB,0x0028,0x003a,
Rx1 Power LSB,0x00cb,0x0011,
Rx2 Power MSB,0x0029,0x0039,
Rx2 Power LSB,0x00bf,0x0024,
Rx3 Power MSB,0x0030,0x0034,
Rx3 Power LSB,0x003e,0x004e,
Rx4 Power MSB,0x0038,0x0030,
Rx4 Power LSB,0x0025,0x002a,
Rx5 Power MSB,0x0025,0x0034,
Rx5 Power LSB,0x0080,0x008b,
Rx6 Power MSB,0x001e,0x002f,
Rx6 Power LSB,0x003a,0x004f,
Rx7 Power MSB,0x0047,0x0042,
Rx7 Power LSB,0x0084,0x00b7,
Rx8 Power MSB,0x003c,0x002f,
Rx8 Power LSB,0x0084,0x009d,
Config Command Status Lane 1/Lane 2,0x0000,0x0000,
Config Command Status Lane 3/Lane 4 ,0x0000,0x0000,
Config Command Status Lane 5/Lane 6 ,0x0000,0x0000,
Config Command Status Lane 7/Lane 8 ,0x0000,0x0000,
Active Control Set Lane 1,0x0010,0x0010,
Active Control Set Lane 2,0x0012,0x0012,
Active Control Set Lane 3,0x0014,0x0014,
Active Control Set Lane 4,0x0016,0x0016,
Active Control Set Lane 5,0x0018,0x0018,
Active Control Set Lane 6,0x001a,0x001a,
Active Control Set Lane 7,0x001c,0x001c,
Active Control Set Lane 8,0x001e,0x001e,
Active Set Tx Adaptive Input Eq Enable,0x00ff,0x00ff,
Active Set Tx Adaptive Input Eq Recall Tx1-Tx4,0x0000,0x0000,
Active Set Tx Adaptive Input Eq Recall Tx5-Tx8,0x0000,0x0000,
Manual Fixed Tx Input EQ Control Tx1/Tx2,0x0000,0x0000,
Manual Fixed Tx Input EQ Control Tx3/Tx4,0x0000,0x0000,
Manual Fixed Tx Input EQ Control Tx5/Tx6,0x0000,0x0000,
Manual Fixed Tx Input EQ Control Tx7/Tx8,0x0000,0x0000,
Active Set Tx CDR Control,0x00ff,0x00ff,
Active Set Rx CDR control,0x00ff,0x00ff,
Active Set Rx1/Rx2 Output Eq Control Pre-cursor,0x0077,0x0077,
Active Set Rx3/Rx4 Output Eq Control Pre-cursor,0x0077,0x0077,
Active Set Rx5/Rx6 Output Eq Control Pre-cursor,0x0077,0x0077,
Active Set Rx7/Rx8 Output Eq Control Pre-cursor,0x0077,0x0077,
