Port Flow Statistics,Port 2,Port 4,
link,link up,link up,
transmitState,0,0,
lineSpeed,800000,800000,
bertBitsSent,27568729149840,27142124349520,
bertBitsReceived,27568726033040,27142124352000,
bertBitErrorsReceived,22428165,40,
bertBitErrorRatio,8.140000e-07,1.470000e-12,
centralTemperature,42,42,
portTemperature,47,49,
pcpuFpgaTemperature,33,33,
bertTransmitDuration,00:01:26.302649260,00:01:25.814206540,
encoding,PAM4 106G,PAM4 106G,
transceiverTemp,49,53,
transceiverVoltage,3.2284000000000002,3.2484999999999999,
minLatency,0,0,
averageLatency,0,0,
maxLatency,0,0,
