Page 0x11 Registers Name,Port 122,Port 124,
Data Path State Lane 1/Lane 2,0x0044,0x0044,
Data Path State Lane 3/Lane 4,0x0044,0x0044,
Data Path State Lane 5/Lane 6,0x0044,0x0044,
Data Path State Lane 7/Lane 8,0x0044,0x0044,
Rx Output Status Lane 1-8,0x00ff,0x00ff,
Tx Output Status Lane 1-8,0x00ff,0x00ff,
Data Path State Changed Flag,0x0000,0x0000,
Tx Fault Flag,0x0000,0x0000,
Tx LOS Flag,0x0000,0x0000,
Tx CDR LOL Flag,0x0000,0x0000,
Tx Adaptive Input Eq Fault Flag,0x0000,0x0000,
Tx Power High Alarm,0x0000,0x0000,
Tx Power Low Alarm,0x0000,0x0000,
Tx Power High Warning,0x0000,0x0000,
Tx Power Low Warning,0x0000,0x0000,
Tx Bias High Alarm,0x0000,0x0000,
Tx Bias Low Alarm,0x0000,0x0000,
Tx Bias High Warning,0x0000,0x0000,
Tx Bias Low Warning,0x0000,0x0000,
Rx LOS Flag,0x0000,0x0000,
Rx CDR LOL Flag,0x0000,0x0000,
Rx Power High Alarm,0x0000,0x0000,
Rx Power Low Alarm,0x0000,0x0000,
Rx Power High Warning,0x0000,0x0000,
Rx Power Low Warning,0x0000,0x0000,
Rx Output Status Changed Flag,0x0000,0x0000,
Tx1 Power MSB,0x0050,0x0044,
Tx1 Power LSB,0x0099,0x002f,
Tx2 Power MSB,0x0048,0x0041,
Tx2 Power LSB,0x00bf,0x00a0,
Tx3 Power MSB,0x0035,0x0043,
Tx3 Power LSB,0x009b,0x0008,
Tx4 Power MSB,0x0038,0x0041,
Tx4 Power LSB,0x0097,0x00dc,
Tx5 Power MSB,0x004e,0x003f,
Tx5 Power LSB,0x0039,0x0074,
Tx6 Power MSB,0x0048,0x003e,
Tx6 Power LSB,0x0076,0x0075,
Tx7 Power MSB,0x004c,0x003f,
Tx7 Power LSB,0x00ef,0x0093,
Tx8 Power MSB,0x0047,0x003e,
Tx8 Power LSB,0x00a0,0x0029,
Tx1 Bias MSB,0x006b,0x0070,
Tx1 Bias LSB,0x0074,0x0016,
Tx2 Bias MSB,0x006b,0x006f,
Tx2 Bias LSB,0x00b1,0x00f7,
Tx3 Bias MSB,0x0062,0x0063,
Tx3 Bias LSB,0x00b7,0x00e5,
Tx4 Bias MSB,0x0062,0x0063,
Tx4 Bias LSB,0x00d6,0x00e5,
Tx5 Bias MSB,0x0060,0x0055,
Tx5 Bias LSB,0x00e0,0x0063,
Tx6 Bias MSB,0x0060,0x0055,
Tx6 Bias LSB,0x00ef,0x0063,
Tx7 Bias MSB,0x0061,0x0054,
Tx7 Bias LSB,0x00e2,0x0032,
Tx8 Bias MSB,0x0061,0x0054,
Tx8 Bias LSB,0x00e2,0x0032,
Rx1 Power MSB,0x002f,0x005f,
Rx1 Power LSB,0x009d,0x00ef,
Rx2 Power MSB,0x0040,0x004f,
Rx2 Power LSB,0x00ff,0x00eb,
Rx3 Power MSB,0x0039,0x003e,
Rx3 Power LSB,0x0052,0x0018,
Rx4 Power MSB,0x0011,0x0042,
Rx4 Power LSB,0x004b,0x00f3,
Rx5 Power MSB,0x0029,0x0052,
Rx5 Power LSB,0x0015,0x00f6,
Rx6 Power MSB,0x0027,0x0052,
Rx6 Power LSB,0x0033,0x004a,
Rx7 Power MSB,0x003f,0x0051,
Rx7 Power LSB,0x004b,0x0029,
Rx8 Power MSB,0x001f,0x003f,
Rx8 Power LSB,0x000d,0x0080,
Config Command Status Lane 1/Lane 2,0x0000,0x0000,
Config Command Status Lane 3/Lane 4 ,0x0000,0x0000,
Config Command Status Lane 5/Lane 6 ,0x0000,0x0000,
Config Command Status Lane 7/Lane 8 ,0x0000,0x0000,
Active Control Set Lane 1,0x0010,0x0010,
Active Control Set Lane 2,0x0012,0x0012,
Active Control Set Lane 3,0x0014,0x0014,
Active Control Set Lane 4,0x0016,0x0016,
Active Control Set Lane 5,0x0018,0x0018,
Active Control Set Lane 6,0x001a,0x001a,
Active Control Set Lane 7,0x001c,0x001c,
Active Control Set Lane 8,0x001e,0x001e,
Active Set Tx Adaptive Input Eq Enable,0x00ff,0x00ff,
Active Set Tx Adaptive Input Eq Recall Tx1-Tx4,0x0000,0x0000,
Active Set Tx Adaptive Input Eq Recall Tx5-Tx8,0x0000,0x0000,
Manual Fixed Tx Input EQ Control Tx1/Tx2,0x0000,0x0000,
Manual Fixed Tx Input EQ Control Tx3/Tx4,0x0000,0x0000,
Manual Fixed Tx Input EQ Control Tx5/Tx6,0x0000,0x0000,
Manual Fixed Tx Input EQ Control Tx7/Tx8,0x0000,0x0000,
Active Set Tx CDR Control,0x00ff,0x00ff,
Active Set Rx CDR control,0x00ff,0x00ff,
Active Set Rx1/Rx2 Output Eq Control Pre-cursor,0x0033,0x0033,
Active Set Rx3/Rx4 Output Eq Control Pre-cursor,0x0033,0x0033,
Active Set Rx5/Rx6 Output Eq Control Pre-cursor,0x0033,0x0033,
Active Set Rx7/Rx8 Output Eq Control Pre-cursor,0x0033,0x0033,
