Port Flow Statistics,Port 3,Port 4,
link,link up,link up,
lineSpeed,800000,800000,
transmitDuration,00:01:00.511975147,00:01:00.526405784,
framesSent,40886469638,40896220069,
framesReceived,40886469638,40896220069,
bitsSent,41867744909312,41877729350656,
bitsReceived,41877729350656,41867744909312,
pcsSyncErrorsReceived,0,0,
pcsRemoteFaultsReceived,0,0,
pcsLocalFaultsReceived,0,0,
fecTotalBitErrors,3413,121396,
fecMaxSymbolErrors,2,2,
fecCorrectedCodewords,3412,120709,
fecTotalCodewords,9979954496,9979615152,
fecFrameLossRatio,0.000000e+00,0.000000e+00,
preFecBer,6.286499e-11,2.236102e-09,
fecMaxSymbolErrorsBin0,9979951084,9979494443,
fecMaxSymbolErrorsBin1,3411,120022,
fecMaxSymbolErrorsBin2,1,687,
fecMaxSymbolErrorsBin3,0,0,
fecMaxSymbolErrorsBin4,0,0,
fecMaxSymbolErrorsBin5,0,0,
fecMaxSymbolErrorsBin6,0,0,
fecMaxSymbolErrorsBin7,0,0,
fecMaxSymbolErrorsBin8,0,0,
fecMaxSymbolErrorsBin9,0,0,
fecMaxSymbolErrorsBin10,0,0,
fecMaxSymbolErrorsBin11,0,0,
fecMaxSymbolErrorsBin12,0,0,
fecMaxSymbolErrorsBin13,0,0,
fecMaxSymbolErrorsBin14,0,0,
fecMaxSymbolErrorsBin15,0,0,
fecUncorrectableCodewords,0,0,
fecTranscodingUncorrectableErrors,0,0,
l1BitsSent,48409580051392,48421124561696,
l1BitsReceived,48421124561696,48409580051392,
transceiverTemp,0,0,
encoding,PAM4 106G,PAM4 106G,
fecStatus,KP4-FEC,KP4-FEC,
transceiverVoltage,0,0,
minLatency,2224364,85897118441,
averageLatency,2224370,30072896,
maxLatency,2224376,85897118453,
Loss_Frames,0,0,
Loss%,0.0,0.0,
