Port Flow Statistics,Port 1,Port 3,
link,link up,link up,
lineSpeed,800000,800000,
transmitDuration,00:00:30.021039230,00:00:30.024390187,
framesSent,20284485908,20286750068,
framesReceived,20284485908,20286750068,
fragments,0,0,
undersize,0,0,
oversizeAndCrcErrors,0,0,
vlanTaggedFramesRx,0,0,
flowControlFrames,0,0,
bitsSent,20771313569792,20773632069632,
bitsReceived,20773632069632,20771313569792,
pcsSyncErrorsReceived,0,0,
pcsRemoteFaultsReceived,0,0,
pcsLocalFaultsReceived,0,0,
fecTotalBitErrors,128,377,
fecMaxSymbolErrors,1,1,
fecCorrectedCodewords,128,377,
fecTotalCodewords,5148889760,5148256176,
fecFrameLossRatio,0.000000e+00,0.000000e+00,
preFecBer,4.569803e-12,1.346115e-11,
fecMaxSymbolErrorsBin0,5148889632,5148255799,
fecMaxSymbolErrorsBin1,128,377,
fecMaxSymbolErrorsBin2,0,0,
fecMaxSymbolErrorsBin3,0,0,
fecMaxSymbolErrorsBin4,0,0,
fecMaxSymbolErrorsBin5,0,0,
fecMaxSymbolErrorsBin6,0,0,
fecMaxSymbolErrorsBin7,0,0,
fecMaxSymbolErrorsBin8,0,0,
fecMaxSymbolErrorsBin9,0,0,
fecMaxSymbolErrorsBin10,0,0,
fecMaxSymbolErrorsBin11,0,0,
fecMaxSymbolErrorsBin12,0,0,
fecMaxSymbolErrorsBin13,0,0,
fecMaxSymbolErrorsBin14,0,0,
fecMaxSymbolErrorsBin15,0,0,
fecUncorrectableCodewords,0,0,
fecTranscodingUncorrectableErrors,0,0,
l1BitsSent,24016831315072,24019512080512,
l1BitsReceived,24019512080512,24016831315072,
transceiverTemp,0,0,
encoding,PAM4 106G,PAM4 106G,
fecStatus,KP4-FEC,KP4-FEC,
transceiverVoltage,0,0,
minLatency,2865125,85896477680,
averageLatency,2865131,114382025,
maxLatency,2865136,85896477691,
Loss_Frames,0,0,
Loss%,0.0,0.0,
