Port Flow Statistics,Port 1,Port 3,
link,link up,link up,
lineSpeed,800000,800000,
transmitDuration,00:00:30.289531790,00:00:30.294925630,
framesSent,5693521012,5694534892,
framesReceived,5693521012,5694534892,
fragments,0,0,
undersize,0,0,
oversizeAndCrcErrors,0,0,
vlanTaggedFramesRx,0,0,
flowControlFrames,0,0,
bitsSent,23320662065152,23324814917632,
bitsReceived,23324814917632,23320662065152,
pcsSyncErrorsReceived,0,0,
pcsRemoteFaultsReceived,0,0,
pcsLocalFaultsReceived,0,0,
fecTotalBitErrors,150,350,
fecMaxSymbolErrors,1,1,
fecCorrectedCodewords,150,350,
fecTotalCodewords,5182048768,5181675408,
fecFrameLossRatio,0.000000e+00,0.000000e+00,
preFecBer,5.320971e-12,1.241649e-11,
fecMaxSymbolErrorsBin0,5182048618,5181675058,
fecMaxSymbolErrorsBin1,150,350,
fecMaxSymbolErrorsBin2,0,0,
fecMaxSymbolErrorsBin3,0,0,
fecMaxSymbolErrorsBin4,0,0,
fecMaxSymbolErrorsBin5,0,0,
fecMaxSymbolErrorsBin6,0,0,
fecMaxSymbolErrorsBin7,0,0,
fecMaxSymbolErrorsBin8,0,0,
fecMaxSymbolErrorsBin9,0,0,
fecMaxSymbolErrorsBin10,0,0,
fecMaxSymbolErrorsBin11,0,0,
fecMaxSymbolErrorsBin12,0,0,
fecMaxSymbolErrorsBin13,0,0,
fecMaxSymbolErrorsBin14,0,0,
fecMaxSymbolErrorsBin15,0,0,
fecUncorrectableCodewords,0,0,
fecTranscodingUncorrectableErrors,0,0,
l1BitsSent,24231625427072,24235940500352,
l1BitsReceived,24235940500352,24231625427072,
transceiverTemp,0,0,
encoding,PAM4 106G,PAM4 106G,
fecStatus,KP4-FEC,KP4-FEC,
transceiverVoltage,0,0,
minLatency,2865125,85896477680,
averageLatency,2865131,288849588,
maxLatency,2865136,85896477692,
Loss_Frames,0,0,
Loss%,0.0,0.0,
