Page 0x11 Registers Name,Port 1,Port 3,
Data Path State Lane 1/Lane 2,0x0000,0x0000,
Data Path State Lane 3/Lane 4,0x0000,0x0000,
Data Path State Lane 5/Lane 6,0x0000,0x0000,
Data Path State Lane 7/Lane 8,0x0000,0x0000,
Rx Output Status Lane 1-8,0x0000,0x0000,
Tx Output Status Lane 1-8,0x0000,0x0000,
Data Path State Changed Flag,0x0000,0x0000,
Tx Fault Flag,0x0000,0x0000,
Tx LOS Flag,0x0000,0x0000,
Tx CDR LOL Flag,0x0000,0x0000,
Tx Adaptive Input Eq Fault Flag,0x0000,0x0000,
Tx Power High Alarm,0x0000,0x0000,
Tx Power Low Alarm,0x0000,0x0000,
Tx Power High Warning,0x0000,0x0000,
Tx Power Low Warning,0x0000,0x0000,
Tx Bias High Alarm,0x0000,0x0000,
Tx Bias Low Alarm,0x0000,0x0000,
Tx Bias High Warning,0x0000,0x0000,
Tx Bias Low Warning,0x0000,0x0000,
Rx LOS Flag,0x0000,0x0000,
Rx CDR LOL Flag,0x0000,0x0000,
Rx Power High Alarm,0x0000,0x0000,
Rx Power Low Alarm,0x0000,0x0000,
Rx Power High Warning,0x0000,0x0000,
Rx Power Low Warning,0x0000,0x0000,
Rx Output Status Changed Flag,0x0000,0x0000,
Tx1 Power MSB,0x0000,0x0000,
Tx1 Power LSB,0x0000,0x0000,
Tx2 Power MSB,0x0000,0x0000,
Tx2 Power LSB,0x0000,0x0000,
Tx3 Power MSB,0x0000,0x0000,
Tx3 Power LSB,0x0000,0x0000,
Tx4 Power MSB,0x0000,0x0000,
Tx4 Power LSB,0x0000,0x0000,
Tx5 Power MSB,0x0000,0x0000,
Tx5 Power LSB,0x0000,0x0000,
Tx6 Power MSB,0x0000,0x0000,
Tx6 Power LSB,0x0000,0x0000,
Tx7 Power MSB,0x0000,0x0000,
Tx7 Power LSB,0x0000,0x0000,
Tx8 Power MSB,0x0000,0x0000,
Tx8 Power LSB,0x0000,0x0000,
Tx1 Bias MSB,0x0000,0x0000,
Tx1 Bias LSB,0x0000,0x0000,
Tx2 Bias MSB,0x0000,0x0000,
Tx2 Bias LSB,0x0000,0x0000,
Tx3 Bias MSB,0x0000,0x0000,
Tx3 Bias LSB,0x0000,0x0000,
Tx4 Bias MSB,0x0000,0x0000,
Tx4 Bias LSB,0x0000,0x0000,
Tx5 Bias MSB,0x0000,0x0000,
Tx5 Bias LSB,0x0000,0x0000,
Tx6 Bias MSB,0x0000,0x0000,
Tx6 Bias LSB,0x0000,0x0000,
Tx7 Bias MSB,0x0000,0x0000,
Tx7 Bias LSB,0x0000,0x0000,
Tx8 Bias MSB,0x0000,0x0000,
Tx8 Bias LSB,0x0000,0x0000,
Rx1 Power MSB,0x0000,0x0000,
Rx1 Power LSB,0x0000,0x0000,
Rx2 Power MSB,0x0000,0x0000,
Rx2 Power LSB,0x0000,0x0000,
Rx3 Power MSB,0x0000,0x0000,
Rx3 Power LSB,0x0000,0x0000,
Rx4 Power MSB,0x0000,0x0000,
Rx4 Power LSB,0x0000,0x0000,
Rx5 Power MSB,0x0000,0x0000,
Rx5 Power LSB,0x0000,0x0000,
Rx6 Power MSB,0x0000,0x0000,
Rx6 Power LSB,0x0000,0x0000,
Rx7 Power MSB,0x0000,0x0000,
Rx7 Power LSB,0x0000,0x0000,
Rx8 Power MSB,0x0000,0x0000,
Rx8 Power LSB,0x0000,0x0000,
Config Command Status Lane 1/Lane 2,0x0000,0x0000,
Config Command Status Lane 3/Lane 4 ,0x0000,0x0000,
Config Command Status Lane 5/Lane 6 ,0x0000,0x0000,
Config Command Status Lane 7/Lane 8 ,0x0000,0x0000,
Active Control Set Lane 1,0x0000,0x0000,
Active Control Set Lane 2,0x0000,0x0000,
Active Control Set Lane 3,0x0000,0x0000,
Active Control Set Lane 4,0x0000,0x0000,
Active Control Set Lane 5,0x0000,0x0000,
Active Control Set Lane 6,0x0000,0x0000,
Active Control Set Lane 7,0x0000,0x0000,
Active Control Set Lane 8,0x0000,0x0000,
