Port Flow Statistics,Port 2,Port 4,
link,link up,link up,
transmitState,0,0,
lineSpeed,400000,400000,
bertBitsSent,13921447832240,13915237528160,
bertBitsReceived,13921447831680,13915237524480,
bertBitErrorsReceived,70,1062,
bertBitErrorRatio,5.030000e-12,7.630000e-11,
centralTemperature,43,43,
portTemperature,48,50,
pcpuFpgaTemperature,33,33,
bertTransmitDuration,00:47:06.988845340,00:47:06.998363300,
encoding,Unknown,Unknown,
transceiverTemp,51,55,
transceiverVoltage,3.2269000000000001,3.2418999999999998,
minLatency,0,0,
averageLatency,0,0,
maxLatency,0,0,
