Port Flow Statistics,Port 1,Port 2,
link,link up,link up,
lineSpeed,800000,800000,
transmitDuration,00:00:10.081395145,00:00:10.100698821,
framesSent,6811753421,6824796448,
framesReceived,6811753421,6824796448,
fragments,0,0,
undersize,0,0,
oversizeAndCrcErrors,0,0,
vlanTaggedFramesRx,0,0,
flowControlFrames,0,0,
bitsSent,6975235503104,6988591562752,
bitsReceived,6988591562752,6975235503104,
pcsSyncErrorsReceived,0,0,
pcsRemoteFaultsReceived,0,0,
pcsLocalFaultsReceived,0,0,
fecTotalBitErrors,0,0,
fecMaxSymbolErrors,0,0,
fecCorrectedCodewords,0,0,
fecTotalCodewords,2035988608,2034730576,
fecFrameLossRatio,0.000000e+00,0.000000e+00,
preFecBer,0.000000e+00,0.000000e+00,
fecMaxSymbolErrorsBin0,2035988608,2034730576,
fecMaxSymbolErrorsBin1,0,0,
fecMaxSymbolErrorsBin2,0,0,
fecMaxSymbolErrorsBin3,0,0,
fecMaxSymbolErrorsBin4,0,0,
fecMaxSymbolErrorsBin5,0,0,
fecMaxSymbolErrorsBin6,0,0,
fecMaxSymbolErrorsBin7,0,0,
fecMaxSymbolErrorsBin8,0,0,
fecMaxSymbolErrorsBin9,0,0,
fecMaxSymbolErrorsBin10,0,0,
fecMaxSymbolErrorsBin11,0,0,
fecMaxSymbolErrorsBin12,0,0,
fecMaxSymbolErrorsBin13,0,0,
fecMaxSymbolErrorsBin14,0,0,
fecMaxSymbolErrorsBin15,0,0,
fecUncorrectableCodewords,0,0,
fecTranscodingUncorrectableErrors,0,0,
l1BitsSent,8065116050464,8080558994432,
l1BitsReceived,8080558994432,8065116050464,
transceiverTemp,0,0,
encoding,PAM4 106G,PAM4 106G,
fecStatus,KP4-FEC,KP4-FEC,
transceiverVoltage,0,0,
minLatency,0,0,
averageLatency,2,1,
maxLatency,6,4,
Loss_Frames,0,0,
Loss%,0.0,0.0,
