Port Flow Statistics,Port 3,
link,link up,
lineSpeed,800000,
transmitDuration,00:01:00.165143066,
framesSent,40652123636,
framesReceived,40652123636,
fragments,0,
undersize,0,
oversizeAndCrcErrors,0,
vlanTaggedFramesRx,0,
flowControlFrames,0,
bitsSent,41627774603264,
bitsReceived,41627774603264,
pcsSyncErrorsReceived,0,
pcsRemoteFaultsReceived,0,
pcsLocalFaultsReceived,0,
fecTotalBitErrors,36,
fecMaxSymbolErrors,1,
fecCorrectedCodewords,36,
fecTotalCodewords,9853291272,
fecFrameLossRatio,0.000000e+00,
preFecBer,6.716179e-13,
fecMaxSymbolErrorsBin0,9853291236,
fecMaxSymbolErrorsBin1,36,
fecMaxSymbolErrorsBin2,0,
fecMaxSymbolErrorsBin3,0,
fecMaxSymbolErrorsBin4,0,
fecMaxSymbolErrorsBin5,0,
fecMaxSymbolErrorsBin6,0,
fecMaxSymbolErrorsBin7,0,
fecMaxSymbolErrorsBin8,0,
fecMaxSymbolErrorsBin9,0,
fecMaxSymbolErrorsBin10,0,
fecMaxSymbolErrorsBin11,0,
fecMaxSymbolErrorsBin12,0,
fecMaxSymbolErrorsBin13,0,
fecMaxSymbolErrorsBin14,0,
fecMaxSymbolErrorsBin15,0,
fecUncorrectableCodewords,0,
fecTranscodingUncorrectableErrors,0,
l1BitsSent,48132114385024,
l1BitsReceived,48132114385024,
transceiverTemp,55,
encoding,PAM4 106G,
fecStatus,KP4-FEC,
transceiverVoltage,3.2302,
minLatency,0,
averageLatency,0,
maxLatency,0,
