Port Flow Statistics,Port 3,
link,link down,
lineSpeed,800000,
transmitDuration,00:00:00.193708033,
framesSent,8196534984,
framesReceived,8042922223,
fragments,0,
undersize,0,
oversizeAndCrcErrors,0,
vlanTaggedFramesRx,0,
flowControlFrames,0,
bitsSent,8393251823616,
bitsReceived,8235952357184,
pcsSyncErrorsReceived,0,
pcsRemoteFaultsReceived,0,
pcsLocalFaultsReceived,0,
fecTotalBitErrors,24,
fecMaxSymbolErrors,16,
fecCorrectedCodewords,12,
fecTotalCodewords,2239591280,
fecFrameLossRatio,4.286496e-08,
preFecBer,1.969897e-12,
fecMaxSymbolErrorsBin0,2239591172,
fecMaxSymbolErrorsBin1,10,
fecMaxSymbolErrorsBin2,0,
fecMaxSymbolErrorsBin3,0,
fecMaxSymbolErrorsBin4,0,
fecMaxSymbolErrorsBin5,0,
fecMaxSymbolErrorsBin6,0,
fecMaxSymbolErrorsBin7,2,
fecMaxSymbolErrorsBin8,0,
fecMaxSymbolErrorsBin9,0,
fecMaxSymbolErrorsBin10,0,
fecMaxSymbolErrorsBin11,0,
fecMaxSymbolErrorsBin12,0,
fecMaxSymbolErrorsBin13,0,
fecMaxSymbolErrorsBin14,0,
fecMaxSymbolErrorsBin15,0,
fecUncorrectableCodewords,96,
fecTranscodingUncorrectableErrors,48,
l1BitsSent,9704697421056,
l1BitsReceived,9522819912864,
transceiverTemp,54,
encoding,PAM4 106G,
fecStatus,KP4-FEC,
transceiverVoltage,3.2303999999999999,
minLatency,1500000000001,
averageLatency,0,
maxLatency,0,
