Port Flow Statistics,Port 3,Port 4,
link,link up,link up,
transmitState,0,0,
lineSpeed,800000,800000,
bertBitsSent,55322558380320,55349203466080,
bertBitsReceived,55322558365440,55349203464960,
bertBitErrorsReceived,3648,34498,
bertBitErrorRatio,6.590000e-11,6.230000e-10,
centralTemperature,41,41,
portTemperature,60,56,
pcpuFpgaTemperature,35,35,
bertTransmitDuration,00:15:41.712284180,00:15:41.737057620,
encoding,PAM4 106G,PAM4 106G,
transceiverTemp,0,0,
transceiverVoltage,0,0,
minLatency,0,0,
averageLatency,0,0,
maxLatency,0,0,
