Port Flow Statistics,Port 3,Port 4,
link,link up,link up,
lineSpeed,800000,800000,
transmitDuration,00:01:00.336276105,00:01:00.345149224,
framesSent,71828900120,71839463358,
framesReceived,71828900120,71839463358,
bitsSent,36776396861440,36781805239296,
bitsReceived,36781805239296,36776396861440,
pcsSyncErrorsReceived,0,0,
pcsRemoteFaultsReceived,0,0,
pcsLocalFaultsReceived,0,0,
fecTotalBitErrors,5120,31469,
fecMaxSymbolErrors,2,2,
fecCorrectedCodewords,5116,31424,
fecTotalCodewords,9886937632,9886650384,
fecFrameLossRatio,0.000000e+00,0.000000e+00,
preFecBer,9.519393e-11,5.851064e-10,
fecMaxSymbolErrorsBin0,9886932516,9886618960,
fecMaxSymbolErrorsBin1,5112,31379,
fecMaxSymbolErrorsBin2,4,45,
fecMaxSymbolErrorsBin3,0,0,
fecMaxSymbolErrorsBin4,0,0,
fecMaxSymbolErrorsBin5,0,0,
fecMaxSymbolErrorsBin6,0,0,
fecMaxSymbolErrorsBin7,0,0,
fecMaxSymbolErrorsBin8,0,0,
fecMaxSymbolErrorsBin9,0,0,
fecMaxSymbolErrorsBin10,0,0,
fecMaxSymbolErrorsBin11,0,0,
fecMaxSymbolErrorsBin12,0,0,
fecMaxSymbolErrorsBin13,0,0,
fecMaxSymbolErrorsBin14,0,0,
fecMaxSymbolErrorsBin15,0,0,
fecUncorrectableCodewords,0,0,
fecTranscodingUncorrectableErrors,0,0,
l1BitsSent,48269020880640,48276119376576,
l1BitsReceived,48276119376576,48269020880640,
transceiverTemp,0,0,
encoding,PAM4 106G,PAM4 106G,
fecStatus,KP4-FEC,KP4-FEC,
transceiverVoltage,0,0,
minLatency,2220875,85897121934,
averageLatency,2220881,25693667,
maxLatency,2220886,85897121946,
Loss_Frames,0,0,
Loss%,0.0,0.0,
