Port Flow Statistics,Port 1,
link,link up,
lineSpeed,800000,
transmitDuration,00:00:30.224950661,
framesSent,20422263905,
framesReceived,20422263905,
fragments,0,
undersize,0,
oversizeAndCrcErrors,0,
vlanTaggedFramesRx,0,
flowControlFrames,0,
bitsSent,20912398238720,
bitsReceived,20912398238720,
pcsSyncErrorsReceived,0,
pcsRemoteFaultsReceived,0,
pcsLocalFaultsReceived,0,
fecTotalBitErrors,25,
fecMaxSymbolErrors,1,
fecCorrectedCodewords,25,
fecTotalCodewords,5164118736,
fecFrameLossRatio,0.000000e+00,
preFecBer,8.899075e-13,
fecMaxSymbolErrorsBin0,5164118711,
fecMaxSymbolErrorsBin1,25,
fecMaxSymbolErrorsBin2,0,
fecMaxSymbolErrorsBin3,0,
fecMaxSymbolErrorsBin4,0,
fecMaxSymbolErrorsBin5,0,
fecMaxSymbolErrorsBin6,0,
fecMaxSymbolErrorsBin7,0,
fecMaxSymbolErrorsBin8,0,
fecMaxSymbolErrorsBin9,0,
fecMaxSymbolErrorsBin10,0,
fecMaxSymbolErrorsBin11,0,
fecMaxSymbolErrorsBin12,0,
fecMaxSymbolErrorsBin13,0,
fecMaxSymbolErrorsBin14,0,
fecMaxSymbolErrorsBin15,0,
fecUncorrectableCodewords,0,
fecTranscodingUncorrectableErrors,0,
l1BitsSent,24179960463520,
l1BitsReceived,24179960463520,
transceiverTemp,54,
encoding,PAM4 106G,
fecStatus,KP4-FEC,
transceiverVoltage,3.2162999999999999,
minLatency,1500000000001,
averageLatency,0,
maxLatency,0,
Loss_Frames,0,
Loss%,0.0,
