Page 0x11 Registers Name,Port 2,Port 4,
Data Path State Lane 1/Lane 2,0x0044,0x0044,
Data Path State Lane 3/Lane 4,0x0044,0x0044,
Data Path State Lane 5/Lane 6,0x0044,0x0044,
Data Path State Lane 7/Lane 8,0x0044,0x0044,
Rx Output Status Lane 1-8,0x00ff,0x00ff,
Tx Output Status Lane 1-8,0x00ff,0x00ff,
Data Path State Changed Flag,0x0000,0x0000,
Tx Fault Flag,0x0000,0x0000,
Tx LOS Flag,0x0000,0x0000,
Tx CDR LOL Flag,0x0000,0x0000,
Tx Adaptive Input Eq Fault Flag,0x0000,0x0000,
Tx Power High Alarm,0x0000,0x0000,
Tx Power Low Alarm,0x0000,0x0000,
Tx Power High Warning,0x0000,0x0000,
Tx Power Low Warning,0x0000,0x0000,
Tx Bias High Alarm,0x0000,0x0000,
Tx Bias Low Alarm,0x0000,0x0000,
Tx Bias High Warning,0x0000,0x0000,
Tx Bias Low Warning,0x0000,0x0000,
Rx LOS Flag,0x0000,0x0000,
Rx CDR LOL Flag,0x0000,0x0000,
Rx Power High Alarm,0x0000,0x0000,
Rx Power Low Alarm,0x0000,0x0000,
Rx Power High Warning,0x0000,0x0000,
Rx Power Low Warning,0x0000,0x0000,
Rx Output Status Changed Flag,0x0000,0x0000,
Tx1 Power MSB,0x0052,0x0044,
Tx1 Power LSB,0x0020,0x00a1,
Tx2 Power MSB,0x0049,0x0040,
Tx2 Power LSB,0x00dd,0x0039,
Tx3 Power MSB,0x0036,0x0044,
Tx3 Power LSB,0x0076,0x000e,
Tx4 Power MSB,0x0039,0x0042,
Tx4 Power LSB,0x00aa,0x00a6,
Tx5 Power MSB,0x0050,0x003f,
Tx5 Power LSB,0x0084,0x0059,
Tx6 Power MSB,0x004b,0x003e,
Tx6 Power LSB,0x00bc,0x00ef,
Tx7 Power MSB,0x004e,0x0040,
Tx7 Power LSB,0x00c7,0x00ae,
Tx8 Power MSB,0x0049,0x003f,
Tx8 Power LSB,0x0071,0x0074,
Tx1 Bias MSB,0x0070,0x0074,
Tx1 Bias LSB,0x0053,0x0030,
Tx2 Bias MSB,0x0070,0x0074,
Tx2 Bias LSB,0x0071,0x0030,
Tx3 Bias MSB,0x0068,0x0068,
Tx3 Bias LSB,0x002d,0x004c,
Tx4 Bias MSB,0x0068,0x0068,
Tx4 Bias LSB,0x005b,0x003c,
Tx5 Bias MSB,0x0067,0x0059,
Tx5 Bias LSB,0x00d2,0x0022,
Tx6 Bias MSB,0x0068,0x0059,
Tx6 Bias LSB,0x000f,0x006e,
Tx7 Bias MSB,0x0067,0x0058,
Tx7 Bias LSB,0x00b3,0x004d,
Tx8 Bias MSB,0x0067,0x0058,
Tx8 Bias LSB,0x00b3,0x004d,
Rx1 Power MSB,0x002d,0x0060,
Rx1 Power LSB,0x006e,0x008b,
Rx2 Power MSB,0x0045,0x0052,
Rx2 Power LSB,0x0006,0x008a,
Rx3 Power MSB,0x0038,0x003f,
Rx3 Power LSB,0x0046,0x0032,
Rx4 Power MSB,0x0010,0x0042,
Rx4 Power LSB,0x0017,0x00bc,
Rx5 Power MSB,0x002a,0x0057,
Rx5 Power LSB,0x0061,0x00de,
Rx6 Power MSB,0x0028,0x0055,
Rx6 Power LSB,0x0036,0x00df,
Rx7 Power MSB,0x003f,0x0052,
Rx7 Power LSB,0x009c,0x00c9,
Rx8 Power MSB,0x001f,0x0040,
Rx8 Power LSB,0x005c,0x00ee,
Config Command Status Lane 1/Lane 2,0x0000,0x0011,
Config Command Status Lane 3/Lane 4 ,0x0000,0x0011,
Config Command Status Lane 5/Lane 6 ,0x0000,0x0011,
Config Command Status Lane 7/Lane 8 ,0x0000,0x0011,
Active Control Set Lane 1,0x0010,0x0010,
Active Control Set Lane 2,0x0012,0x0012,
Active Control Set Lane 3,0x0014,0x0014,
Active Control Set Lane 4,0x0016,0x0016,
Active Control Set Lane 5,0x0018,0x0018,
Active Control Set Lane 6,0x001a,0x001a,
Active Control Set Lane 7,0x001c,0x001c,
Active Control Set Lane 8,0x001e,0x001e,
Active Set Tx Adaptive Input Eq Enable,0x00ff,0x00ff,
Active Set Tx Adaptive Input Eq Recall Tx1-Tx4,0x0000,0x0000,
Active Set Tx Adaptive Input Eq Recall Tx5-Tx8,0x0000,0x0000,
Manual Fixed Tx Input EQ Control Tx1/Tx2,0x0000,0x0000,
Manual Fixed Tx Input EQ Control Tx3/Tx4,0x0000,0x0000,
Manual Fixed Tx Input EQ Control Tx5/Tx6,0x0000,0x0000,
Manual Fixed Tx Input EQ Control Tx7/Tx8,0x0000,0x0000,
Active Set Tx CDR Control,0x00ff,0x00ff,
Active Set Rx CDR control,0x00ff,0x00ff,
Active Set Rx1/Rx2 Output Eq Control Pre-cursor,0x0033,0x0033,
Active Set Rx3/Rx4 Output Eq Control Pre-cursor,0x0033,0x0033,
Active Set Rx5/Rx6 Output Eq Control Pre-cursor,0x0033,0x0033,
Active Set Rx7/Rx8 Output Eq Control Pre-cursor,0x0033,0x0033,
