Port Flow Statistics,Port 2,Port 4,
link,link up,link up,
transmitState,0,0,
lineSpeed,400000,400000,
bertBitsSent,13742411516080,13529166813840,
bertBitsReceived,13742411520000,13529166812160,
bertBitErrorsReceived,52,977,
bertBitErrorRatio,3.780000e-12,7.220000e-11,
centralTemperature,42,42,
portTemperature,48,49,
pcpuFpgaTemperature,33,33,
bertTransmitDuration,00:53:41.667369300,00:53:41.218538980,
encoding,Unknown,Unknown,
transceiverTemp,51,55,
transceiverVoltage,3.2332000000000001,3.2465999999999999,
minLatency,0,0,
averageLatency,0,0,
maxLatency,0,0,
