Port Flow Statistics,Port 3,Port 4,
link,link up,link up,
lineSpeed,800000,800000,
transmitDuration,00:01:00.037852503,00:01:00.048705306,
framesSent,71473633930,71486553932,
framesReceived,71473633930,71486553932,
bitsSent,36594500572160,36601115613184,
bitsReceived,36601115613184,36594500572160,
pcsSyncErrorsReceived,0,0,
pcsRemoteFaultsReceived,0,0,
pcsLocalFaultsReceived,0,0,
fecTotalBitErrors,3317,118895,
fecMaxSymbolErrors,1,2,
fecCorrectedCodewords,3317,118312,
fecTotalCodewords,9828616608,9828279552,
fecFrameLossRatio,0.000000e+00,0.000000e+00,
preFecBer,6.203748e-11,2.223756e-09,
fecMaxSymbolErrorsBin0,9828613291,9828161240,
fecMaxSymbolErrorsBin1,3317,117729,
fecMaxSymbolErrorsBin2,0,583,
fecMaxSymbolErrorsBin3,0,0,
fecMaxSymbolErrorsBin4,0,0,
fecMaxSymbolErrorsBin5,0,0,
fecMaxSymbolErrorsBin6,0,0,
fecMaxSymbolErrorsBin7,0,0,
fecMaxSymbolErrorsBin8,0,0,
fecMaxSymbolErrorsBin9,0,0,
fecMaxSymbolErrorsBin10,0,0,
fecMaxSymbolErrorsBin11,0,0,
fecMaxSymbolErrorsBin12,0,0,
fecMaxSymbolErrorsBin13,0,0,
fecMaxSymbolErrorsBin14,0,0,
fecMaxSymbolErrorsBin15,0,0,
fecUncorrectableCodewords,0,0,
fecTranscodingUncorrectableErrors,0,0,
l1BitsSent,48030282000960,48038964242304,
l1BitsReceived,48038964242304,48030282000960,
transceiverTemp,0,0,
encoding,PAM4 106G,PAM4 106G,
fecStatus,KP4-FEC,KP4-FEC,
transceiverVoltage,0,0,
minLatency,2224364,85897118441,
averageLatency,2224370,22474757,
maxLatency,2224376,85897118453,
Loss_Frames,0,0,
Loss%,0.0,0.0,
