Port Flow Statistics,Port 3,Port 4,
link,link up,link up,
lineSpeed,800000,800000,
transmitDuration,00:01:00.123389625,00:01:00.126343782,
framesSent,40623911853,40625907906,
framesReceived,40623911853,40625907906,
bitsSent,41598885737472,41600929695744,
bitsReceived,41600929695744,41598885737472,
pcsSyncErrorsReceived,0,0,
pcsRemoteFaultsReceived,0,0,
pcsLocalFaultsReceived,0,0,
fecTotalBitErrors,3382,120436,
fecMaxSymbolErrors,1,2,
fecCorrectedCodewords,3382,119818,
fecTotalCodewords,9930844800,9928263040,
fecFrameLossRatio,0.000000e+00,0.000000e+00,
preFecBer,6.260204e-11,2.229894e-09,
fecMaxSymbolErrorsBin0,9930841418,9928143222,
fecMaxSymbolErrorsBin1,3382,119200,
fecMaxSymbolErrorsBin2,0,618,
fecMaxSymbolErrorsBin3,0,0,
fecMaxSymbolErrorsBin4,0,0,
fecMaxSymbolErrorsBin5,0,0,
fecMaxSymbolErrorsBin6,0,0,
fecMaxSymbolErrorsBin7,0,0,
fecMaxSymbolErrorsBin8,0,0,
fecMaxSymbolErrorsBin9,0,0,
fecMaxSymbolErrorsBin10,0,0,
fecMaxSymbolErrorsBin11,0,0,
fecMaxSymbolErrorsBin12,0,0,
fecMaxSymbolErrorsBin13,0,0,
fecMaxSymbolErrorsBin14,0,0,
fecMaxSymbolErrorsBin15,0,0,
fecUncorrectableCodewords,0,0,
fecTranscodingUncorrectableErrors,0,0,
l1BitsSent,48098711633952,48101074960704,
l1BitsReceived,48101074960704,48098711633952,
transceiverTemp,0,0,
encoding,PAM4 106G,PAM4 106G,
fecStatus,KP4-FEC,KP4-FEC,
transceiverVoltage,0,0,
minLatency,2224364,85897118441,
averageLatency,2224370,12432858,
maxLatency,2224376,85897118453,
Loss_Frames,0,0,
Loss%,0.0,0.0,
