Port Flow Statistics,Port 3,Port 4,
link,link up,link up,
lineSpeed,800000,800000,
transmitDuration,00:01:00.066841304,00:01:00.069427624,
framesSent,40585703528,40587451041,
framesReceived,40585703528,40587451041,
bitsSent,41559760412672,41561549865984,
bitsReceived,41561549865984,41559760412672,
pcsSyncErrorsReceived,0,0,
pcsRemoteFaultsReceived,0,0,
pcsLocalFaultsReceived,0,0,
fecTotalBitErrors,3315,113853,
fecMaxSymbolErrors,1,2,
fecCorrectedCodewords,3315,113209,
fecTotalCodewords,9851243216,9850588592,
fecFrameLossRatio,0.000000e+00,0.000000e+00,
preFecBer,6.185767e-11,2.124630e-09,
fecMaxSymbolErrorsBin0,9851239901,9850475383,
fecMaxSymbolErrorsBin1,3315,112565,
fecMaxSymbolErrorsBin2,0,644,
fecMaxSymbolErrorsBin3,0,0,
fecMaxSymbolErrorsBin4,0,0,
fecMaxSymbolErrorsBin5,0,0,
fecMaxSymbolErrorsBin6,0,0,
fecMaxSymbolErrorsBin7,0,0,
fecMaxSymbolErrorsBin8,0,0,
fecMaxSymbolErrorsBin9,0,0,
fecMaxSymbolErrorsBin10,0,0,
fecMaxSymbolErrorsBin11,0,0,
fecMaxSymbolErrorsBin12,0,0,
fecMaxSymbolErrorsBin13,0,0,
fecMaxSymbolErrorsBin14,0,0,
fecMaxSymbolErrorsBin15,0,0,
fecUncorrectableCodewords,0,0,
fecTranscodingUncorrectableErrors,0,0,
l1BitsSent,48053472977152,48055542032544,
l1BitsReceived,48055542032544,48053472977152,
transceiverTemp,0,0,
encoding,PAM4 106G,PAM4 106G,
fecStatus,KP4-FEC,KP4-FEC,
transceiverVoltage,0,0,
minLatency,2224364,85897118441,
averageLatency,2224370,46497187,
maxLatency,2224376,85897118453,
Loss_Frames,0,0,
Loss%,0.0,0.0,
