Port Flow Statistics,Port 3,Port 4,
link,link up,link up,
lineSpeed,800000,800000,
transmitDuration,00:01:00.269367464,00:01:00.273471384,
framesSent,11328828470,11329599884,
framesReceived,11328828470,11329599884,
bitsSent,46402881413120,46406041124864,
bitsReceived,46406041124864,46402881413120,
pcsSyncErrorsReceived,0,0,
pcsRemoteFaultsReceived,0,0,
pcsLocalFaultsReceived,0,0,
fecTotalBitErrors,3402,121526,
fecMaxSymbolErrors,1,2,
fecCorrectedCodewords,3402,120914,
fecTotalCodewords,9880319360,9877821360,
fecFrameLossRatio,0.000000e+00,0.000000e+00,
preFecBer,6.329427e-11,2.261565e-09,
fecMaxSymbolErrorsBin0,9880315958,9877700446,
fecMaxSymbolErrorsBin1,3402,120302,
fecMaxSymbolErrorsBin2,0,612,
fecMaxSymbolErrorsBin3,0,0,
fecMaxSymbolErrorsBin4,0,0,
fecMaxSymbolErrorsBin5,0,0,
fecMaxSymbolErrorsBin6,0,0,
fecMaxSymbolErrorsBin7,0,0,
fecMaxSymbolErrorsBin8,0,0,
fecMaxSymbolErrorsBin9,0,0,
fecMaxSymbolErrorsBin10,0,0,
fecMaxSymbolErrorsBin11,0,0,
fecMaxSymbolErrorsBin12,0,0,
fecMaxSymbolErrorsBin13,0,0,
fecMaxSymbolErrorsBin14,0,0,
fecMaxSymbolErrorsBin15,0,0,
fecUncorrectableCodewords,0,0,
fecTranscodingUncorrectableErrors,0,0,
l1BitsSent,48215493968320,48218777106304,
l1BitsReceived,48218777106304,48215493968320,
transceiverTemp,0,0,
encoding,PAM4 106G,PAM4 106G,
fecStatus,KP4-FEC,KP4-FEC,
transceiverVoltage,0,0,
minLatency,2224364,85897118441,
averageLatency,2224370,50888025,
maxLatency,2224376,85897118453,
Loss_Frames,0,0,
Loss%,0.0,0.0,
