Port Flow Statistics,Port 3,Port 4,
link,link up,link up,
lineSpeed,800000,800000,
transmitDuration,00:01:00.407602676,00:01:00.412449633,
framesSent,4646738667,4647111510,
framesReceived,4646738667,4647111510,
bitsSent,47582603950080,47586421862400,
bitsReceived,47586421862400,47582603950080,
pcsSyncErrorsReceived,0,0,
pcsRemoteFaultsReceived,0,0,
pcsLocalFaultsReceived,0,0,
fecTotalBitErrors,3394,121987,
fecMaxSymbolErrors,2,2,
fecCorrectedCodewords,3393,121333,
fecTotalCodewords,9919743984,9919339168,
fecFrameLossRatio,0.000000e+00,0.000000e+00,
preFecBer,6.289447e-11,2.260643e-09,
fecMaxSymbolErrorsBin0,9919740591,9919217835,
fecMaxSymbolErrorsBin1,3392,120679,
fecMaxSymbolErrorsBin2,1,654,
fecMaxSymbolErrorsBin3,0,0,
fecMaxSymbolErrorsBin4,0,0,
fecMaxSymbolErrorsBin5,0,0,
fecMaxSymbolErrorsBin6,0,0,
fecMaxSymbolErrorsBin7,0,0,
fecMaxSymbolErrorsBin8,0,0,
fecMaxSymbolErrorsBin9,0,0,
fecMaxSymbolErrorsBin10,0,0,
fecMaxSymbolErrorsBin11,0,0,
fecMaxSymbolErrorsBin12,0,0,
fecMaxSymbolErrorsBin13,0,0,
fecMaxSymbolErrorsBin14,0,0,
fecMaxSymbolErrorsBin15,0,0,
fecUncorrectableCodewords,0,0,
fecTranscodingUncorrectableErrors,0,0,
l1BitsSent,48326082136800,48329959704000,
l1BitsReceived,48329959704000,48326082136800,
transceiverTemp,0,0,
encoding,PAM4 106G,PAM4 106G,
fecStatus,KP4-FEC,KP4-FEC,
transceiverVoltage,0,0,
minLatency,2224364,85897118441,
averageLatency,2224370,269618911,
maxLatency,2224376,85897118453,
Loss_Frames,0,0,
Loss%,0.0,0.0,
