Port Flow Statistics,Port 3,Port 4,
link,link up,link up,
lineSpeed,800000,800000,
transmitDuration,00:01:00.359986836,00:01:00.365301951,
framesSent,5781607934,5782117045,
framesReceived,5781607934,5782117045,
bitsSent,47362932195328,47367102832640,
bitsReceived,47367102832640,47362932195328,
pcsSyncErrorsReceived,0,0,
pcsRemoteFaultsReceived,0,0,
pcsLocalFaultsReceived,0,0,
fecTotalBitErrors,3416,122151,
fecMaxSymbolErrors,1,2,
fecCorrectedCodewords,3416,121494,
fecTotalCodewords,10000640256,9999246432,
fecFrameLossRatio,0.000000e+00,0.000000e+00,
preFecBer,6.279010e-11,2.245592e-09,
fecMaxSymbolErrorsBin0,10000636840,9999124938,
fecMaxSymbolErrorsBin1,3416,120837,
fecMaxSymbolErrorsBin2,0,657,
fecMaxSymbolErrorsBin3,0,0,
fecMaxSymbolErrorsBin4,0,0,
fecMaxSymbolErrorsBin5,0,0,
fecMaxSymbolErrorsBin6,0,0,
fecMaxSymbolErrorsBin7,0,0,
fecMaxSymbolErrorsBin8,0,0,
fecMaxSymbolErrorsBin9,0,0,
fecMaxSymbolErrorsBin10,0,0,
fecMaxSymbolErrorsBin11,0,0,
fecMaxSymbolErrorsBin12,0,0,
fecMaxSymbolErrorsBin13,0,0,
fecMaxSymbolErrorsBin14,0,0,
fecMaxSymbolErrorsBin15,0,0,
fecUncorrectableCodewords,0,0,
fecTranscodingUncorrectableErrors,0,0,
l1BitsSent,48287989464768,48292241559840,
l1BitsReceived,48292241559840,48287989464768,
transceiverTemp,0,0,
encoding,PAM4 106G,PAM4 106G,
fecStatus,KP4-FEC,KP4-FEC,
transceiverVoltage,0,0,
minLatency,2224364,85897118441,
averageLatency,2224370,86548148,
maxLatency,2224376,85897118453,
Loss_Frames,0,0,
Loss%,0.0,0.0,
