Port Flow Statistics,Port 3,Port 4,
link,link up,link up,
lineSpeed,800000,800000,
transmitDuration,00:01:00.327701555,00:01:00.349995558,
framesSent,3922477344,3923926889,
framesReceived,3922477344,3923926889,
bitsSent,47634564865536,47652168140016,
bitsReceived,47652168140016,47634564865536,
pcsSyncErrorsReceived,0,0,
pcsRemoteFaultsReceived,0,0,
pcsLocalFaultsReceived,0,0,
fecTotalBitErrors,3312,121790,
fecMaxSymbolErrors,1,2,
fecCorrectedCodewords,3312,121128,
fecTotalCodewords,9910458784,9909414976,
fecFrameLossRatio,0.000000e+00,0.000000e+00,
preFecBer,6.143243e-11,2.259252e-09,
fecMaxSymbolErrorsBin0,9910455472,9909293848,
fecMaxSymbolErrorsBin1,3312,120466,
fecMaxSymbolErrorsBin2,0,662,
fecMaxSymbolErrorsBin3,0,0,
fecMaxSymbolErrorsBin4,0,0,
fecMaxSymbolErrorsBin5,0,0,
fecMaxSymbolErrorsBin6,0,0,
fecMaxSymbolErrorsBin7,0,0,
fecMaxSymbolErrorsBin8,0,0,
fecMaxSymbolErrorsBin9,0,0,
fecMaxSymbolErrorsBin10,0,0,
fecMaxSymbolErrorsBin11,0,0,
fecMaxSymbolErrorsBin12,0,0,
fecMaxSymbolErrorsBin13,0,0,
fecMaxSymbolErrorsBin14,0,0,
fecMaxSymbolErrorsBin15,0,0,
fecUncorrectableCodewords,0,0,
fecTranscodingUncorrectableErrors,0,0,
l1BitsSent,48262161240576,48279996442256,
l1BitsReceived,48279996442256,48262161240576,
transceiverTemp,0,0,
encoding,PAM4 106G,PAM4 106G,
fecStatus,KP4-FEC,KP4-FEC,
transceiverVoltage,0,0,
minLatency,2224364,85897118441,
averageLatency,2224370,398810068,
maxLatency,2224376,85897118453,
Loss_Frames,0,0,
Loss%,0.0,0.0,
