Port Flow Statistics,Port 3,Port 4,
link,link up,link up,
lineSpeed,800000,800000,
transmitDuration,00:01:00.083602668,00:01:00.086045787,
framesSent,21769421255,21770306443,
framesReceived,21769421255,21770306443,
bitsSent,44583774730240,44585587595264,
bitsReceived,44585587595264,44583774730240,
pcsSyncErrorsReceived,0,0,
pcsRemoteFaultsReceived,0,0,
pcsLocalFaultsReceived,0,0,
fecTotalBitErrors,3393,121288,
fecMaxSymbolErrors,1,2,
fecCorrectedCodewords,3393,120631,
fecTotalCodewords,9850746240,9850434560,
fecFrameLossRatio,0.000000e+00,0.000000e+00,
preFecBer,6.331634e-11,2.263412e-09,
fecMaxSymbolErrorsBin0,9850742847,9850313929,
fecMaxSymbolErrorsBin1,3393,119974,
fecMaxSymbolErrorsBin2,0,657,
fecMaxSymbolErrorsBin3,0,0,
fecMaxSymbolErrorsBin4,0,0,
fecMaxSymbolErrorsBin5,0,0,
fecMaxSymbolErrorsBin6,0,0,
fecMaxSymbolErrorsBin7,0,0,
fecMaxSymbolErrorsBin8,0,0,
fecMaxSymbolErrorsBin9,0,0,
fecMaxSymbolErrorsBin10,0,0,
fecMaxSymbolErrorsBin11,0,0,
fecMaxSymbolErrorsBin12,0,0,
fecMaxSymbolErrorsBin13,0,0,
fecMaxSymbolErrorsBin14,0,0,
fecMaxSymbolErrorsBin15,0,0,
fecUncorrectableCodewords,0,0,
fecTranscodingUncorrectableErrors,0,0,
l1BitsSent,48066882131040,48068836626144,
l1BitsReceived,48068836626144,48066882131040,
transceiverTemp,0,0,
encoding,PAM4 106G,PAM4 106G,
fecStatus,KP4-FEC,KP4-FEC,
transceiverVoltage,0,0,
minLatency,2224364,85897118441,
averageLatency,2224370,8764422,
maxLatency,2224376,85897118453,
Loss_Frames,0,0,
Loss%,0.0,0.0,
