Port Flow Statistics,Port 3,Port 4,
link,link up,link up,
lineSpeed,800000,800000,
transmitDuration,00:01:00.199525382,00:01:00.202093305,
framesSent,71666101644,71669158692,
framesReceived,71666101644,71669158692,
bitsSent,36693044041728,36694609250304,
bitsReceived,36694609250304,36693044041728,
pcsSyncErrorsReceived,0,0,
pcsRemoteFaultsReceived,0,0,
pcsLocalFaultsReceived,0,0,
fecTotalBitErrors,3287,113349,
fecMaxSymbolErrors,1,2,
fecCorrectedCodewords,3287,112765,
fecTotalCodewords,9865232928,9864170960,
fecFrameLossRatio,0.000000e+00,0.000000e+00,
preFecBer,6.124822e-11,2.112313e-09,
fecMaxSymbolErrorsBin0,9865229641,9864058195,
fecMaxSymbolErrorsBin1,3287,112181,
fecMaxSymbolErrorsBin2,0,584,
fecMaxSymbolErrorsBin3,0,0,
fecMaxSymbolErrorsBin4,0,0,
fecMaxSymbolErrorsBin5,0,0,
fecMaxSymbolErrorsBin6,0,0,
fecMaxSymbolErrorsBin7,0,0,
fecMaxSymbolErrorsBin8,0,0,
fecMaxSymbolErrorsBin9,0,0,
fecMaxSymbolErrorsBin10,0,0,
fecMaxSymbolErrorsBin11,0,0,
fecMaxSymbolErrorsBin12,0,0,
fecMaxSymbolErrorsBin13,0,0,
fecMaxSymbolErrorsBin14,0,0,
fecMaxSymbolErrorsBin15,0,0,
fecUncorrectableCodewords,0,0,
fecTranscodingUncorrectableErrors,0,0,
l1BitsSent,48159620304768,48161674641024,
l1BitsReceived,48161674641024,48159620304768,
transceiverTemp,0,0,
encoding,PAM4 106G,PAM4 106G,
fecStatus,KP4-FEC,KP4-FEC,
transceiverVoltage,0,0,
minLatency,2224364,85897118441,
averageLatency,2224370,7381181,
maxLatency,2224376,85897118453,
Loss_Frames,0,0,
Loss%,0.0,0.0,
